station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
4M9,2014-01-01 00:15:00,32.0,92.97,4.6,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 00:35:00,33.8,80.36,5.8,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 00:55:00,32.0,86.39,5.8,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 01:15:00,32.0,86.39,4.6,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 01:35:00,32.0,86.39,0.0,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 01:55:00,32.0,86.39,0.0,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 02:15:00,32.0,86.39,3.5,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 02:35:00,33.8,80.36,6.9,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 02:55:00,33.8,80.36,5.8,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 03:15:00,33.8,86.49,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 03:35:00,33.8,86.49,8.1,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 03:55:00,32.0,86.39,8.1,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 04:15:00,32.0,86.39,10.4,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 04:35:00,32.0,86.39,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 04:55:00,32.0,86.39,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 05:15:00,32.0,92.97,8.1,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 05:35:00,32.0,86.39,8.1,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 05:55:00,32.0,92.97,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 06:15:00,32.0,86.39,8.1,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 06:35:00,32.0,86.39,8.1,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 06:55:00,32.0,86.39,8.1,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 07:15:00,32.0,86.39,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 07:35:00,32.0,86.39,5.8,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 07:55:00,30.2,86.28,4.6,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 08:15:00,32.0,86.39,4.6,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 08:35:00,30.2,86.28,4.6,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 08:55:00,32.0,86.39,5.8,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 09:15:00,32.0,86.39,5.8,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 09:35:00,32.0,80.22,4.6,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 09:55:00,32.0,80.22,6.9,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 10:15:00,32.0,80.22,6.9,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 10:35:00,30.2,86.28,4.6,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 10:55:00,30.2,86.28,5.8,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 11:15:00,30.2,86.28,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 11:35:00,30.2,86.28,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 11:55:00,32.0,80.22,8.1,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 12:15:00,28.4,92.86,6.9,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 12:35:00,28.4,92.86,3.5,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 12:55:00,28.4,92.86,0.0,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 13:15:00,28.4,92.86,0.0,,0.0,9.0,,CLR,M,M
4M9,2014-01-01 13:35:00,28.4,92.86,3.5,,0.0,8.0,,CLR,M,M
4M9,2014-01-01 13:55:00,28.4,92.86,4.6,,0.0,7.0,,CLR,M,M
4M9,2014-01-01 14:15:00,32.0,86.39,4.6,,0.0,7.0,,CLR,M,M
4M9,2014-01-01 14:35:00,32.0,92.97,3.5,,0.0,7.0,,CLR,M,M
4M9,2014-01-01 14:55:00,32.0,100.0,5.8,,0.0,9.0,,CLR,M,M
4M9,2014-01-01 15:15:00,35.6,86.59,4.6,,0.0,9.0,,CLR,M,M
4M9,2014-01-01 15:35:00,37.4,80.65,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 15:55:00,39.2,75.16,6.9,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 16:15:00,39.2,75.16,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 16:35:00,41.0,70.08,11.5,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 16:55:00,42.8,65.38,11.5,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 17:15:00,42.8,65.38,11.5,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 17:35:00,44.6,61.03,12.7,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 17:55:00,44.6,61.03,12.7,,0.0,10.0,,M,M,M
4M9,2014-01-01 18:15:00,44.6,61.03,12.7,,0.0,10.0,,M,M,M
4M9,2014-01-01 18:35:00,46.4,57.0,11.5,,0.0,10.0,,M,M,M
4M9,2014-01-01 18:55:00,46.4,57.0,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 19:15:00,46.4,57.0,10.4,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 19:35:00,46.4,57.0,11.5,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 19:55:00,48.2,57.26,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 20:15:00,48.2,57.26,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 20:35:00,46.4,65.83,9.2,,0.0,10.0,,M,M,M
4M9,2014-01-01 20:55:00,48.2,57.26,6.9,,0.0,10.0,,M,M,M
4M9,2014-01-01 21:15:00,50.0,53.54,6.9,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 21:35:00,48.2,61.52,4.6,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 21:55:00,46.4,70.68,6.9,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 22:15:00,46.4,70.68,9.2,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 22:35:00,44.6,75.68,11.5,,0.0,10.0,,CLR,M,M
4M9,2014-01-01 22:55:00,44.6,75.68,10.4,,0.0,10.0,,SCT,M,M
4M9,2014-01-01 23:15:00,44.6,75.68,4.6,,0.0,10.0,,BKN,OVC,M
4M9,2014-01-01 23:35:00,42.8,81.07,6.9,,0.0,7.0,,FEW,BKN,OVC
4M9,2014-01-01 23:55:00,42.8,86.99,6.9,,0.0,10.0,,OVC,M,M
4M9,2014-01-02 00:15:00,42.8,86.99,4.6,,0.0,10.0,,OVC,M,M
4M9,2014-01-02 00:35:00,42.8,86.99,5.8,,0.0,10.0,,OVC,M,M
4M9,2014-01-02 00:55:00,42.8,86.99,5.8,,0.0,10.0,,OVC,M,M
4M9,2014-01-02 01:15:00,42.8,86.99,8.1,,0.0,10.0,,BKN,M,M
4M9,2014-01-02 01:35:00,41.0,86.89,5.8,,0.0,10.0,,FEW,SCT,M
4M9,2014-01-02 01:55:00,41.0,93.24,4.6,,0.0,10.0,,BKN,BKN,M
4M9,2014-01-02 02:15:00,41.0,93.24,4.6,,0.0,10.0,,OVC,M,M
4M9,2014-01-02 02:35:00,41.0,93.24,3.5,,0.0,10.0,,OVC,M,M
4M9,2014-01-02 02:55:00,41.0,93.24,0.0,,0.0,10.0,,OVC,M,M
