station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
BXK,2014-01-01 00:15:00,62.6,31.56,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 00:35:00,62.6,31.56,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 00:55:00,59.0,35.87,0.0,,0.0,6.0,,CLR,M,M
BXK,2014-01-01 01:15:00,57.2,38.26,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 01:35:00,53.6,43.61,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 01:55:00,50.0,49.81,5.8,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 02:15:00,50.0,49.81,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 02:35:00,50.0,49.81,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 02:55:00,48.2,53.27,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 03:15:00,48.2,53.27,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 03:35:00,46.4,57.0,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 03:55:00,46.4,57.0,6.9,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 04:15:00,46.4,57.0,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 04:35:00,46.4,57.0,6.9,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 04:55:00,44.6,61.03,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 05:15:00,44.6,61.03,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 05:35:00,44.6,61.03,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 05:55:00,44.6,61.03,9.2,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 06:15:00,44.6,61.03,6.9,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 06:35:00,44.6,56.74,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 06:55:00,42.8,60.79,9.2,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 07:15:00,46.4,49.24,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 07:35:00,44.6,52.72,8.1,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 07:55:00,44.6,52.72,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 08:15:00,42.8,56.48,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 08:35:00,41.0,60.54,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 08:55:00,41.0,65.16,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 09:15:00,39.2,69.88,3.5,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 09:35:00,41.0,60.54,6.9,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 09:55:00,41.0,65.16,4.6,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 10:15:00,39.2,69.88,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 10:35:00,39.2,69.88,3.5,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 10:55:00,39.2,69.88,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 11:15:00,39.2,64.93,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 11:35:00,37.4,74.98,4.6,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 11:55:00,39.2,75.16,4.6,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 12:15:00,39.2,75.16,5.8,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 12:35:00,37.4,86.69,0.0,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 12:55:00,35.6,86.59,3.5,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 13:15:00,35.6,86.59,5.8,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 13:35:00,35.6,86.59,6.9,,0.0,10.0,,CLR,M,M
BXK,2014-01-01 13:55:00,35.6,86.59,4.6,,0.0,10.0,,CLR,M,M
