station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
BDL,2014-01-01 00:51:00,21.02,80.55,5.8,1020.5,0.0,10.0,,FEW,BKN,BKN
BDL,2014-01-01 01:51:00,21.92,74.56,8.1,1021.1,0.0,10.0,,FEW,M,M
BDL,2014-01-01 02:51:00,21.92,65.18,8.1,1021.9,0.0,10.0,,CLR,M,M
BDL,2014-01-01 03:51:00,23.0,52.18,11.5,1022.8,0.0,10.0,,CLR,M,M
BDL,2014-01-01 04:51:00,23.0,43.21,17.3,1023.5,0.0,10.0,28.8,FEW,M,M
BDL,2014-01-01 05:51:00,21.02,45.07,15.0,1023.9,0.0,10.0,,CLR,M,M
BDL,2014-01-01 06:51:00,17.96,51.36,4.6,1024.7,0.0,10.0,,CLR,M,M
BDL,2014-01-01 07:51:00,19.04,51.11,6.9,1025.5,0.0,10.0,,FEW,M,M
BDL,2014-01-01 08:51:00,19.04,53.71,8.1,1025.4,0.0,10.0,,FEW,M,M
BDL,2014-01-01 09:51:00,17.96,56.26,4.6,1025.9,0.0,10.0,,CLR,M,M
BDL,2014-01-01 10:51:00,19.04,58.78,9.2,1026.3,0.0,10.0,,CLR,M,M
BDL,2014-01-01 11:51:00,19.04,58.78,6.9,1027.0,0.0,10.0,,FEW,SCT,M
BDL,2014-01-01 12:51:00,17.96,61.57,6.9,1027.7,0.0,10.0,,FEW,SCT,M
BDL,2014-01-01 13:51:00,21.02,56.73,5.8,1028.7,0.0,10.0,,FEW,SCT,M
BDL,2014-01-01 14:51:00,24.08,49.87,9.2,1028.9,0.0,10.0,,FEW,SCT,M
BDL,2014-01-01 15:51:00,26.06,45.93,9.2,1028.4,0.0,10.0,,BKN,BKN,M
BDL,2014-01-01 16:51:00,28.04,38.69,9.2,1027.4,0.0,10.0,16.1,SCT,SCT,M
BDL,2014-01-01 17:51:00,30.02,35.68,6.9,1027.0,0.0,10.0,,FEW,SCT,BKN
BDL,2014-01-01 18:51:00,30.02,31.01,8.1,1027.1,0.0,10.0,,FEW,BKN,BKN
BDL,2014-01-01 19:51:00,30.02,32.32,5.8,1026.8,0.0,10.0,,BKN,BKN,M
BDL,2014-01-01 20:51:00,28.94,33.78,3.5,1027.2,0.0,10.0,,BKN,BKN,M
BDL,2014-01-01 21:51:00,28.04,36.83,4.6,1027.3,0.0,10.0,,BKN,OVC,M
BDL,2014-01-01 22:51:00,26.96,40.45,4.6,1027.3,0.0,10.0,,BKN,BKN,OVC
BDL,2014-01-01 23:51:00,26.96,38.5,3.5,1027.7,0.0,10.0,,BKN,OVC,M
BDL,2014-01-02 00:51:00,26.96,38.5,0.0,1028.1,0.0,10.0,,OVC,M,M
BDL,2014-01-02 01:51:00,26.06,50.2,4.6,1028.2,0.0,10.0,,OVC,M,M
BDL,2014-01-02 02:51:00,24.08,68.09,6.9,1027.9,0.0,7.0,,SCT,OVC,M
BDL,2014-01-02 03:51:00,23.0,77.64,6.9,1027.7,0.0,4.0,,OVC,M,M
BDL,2014-01-02 04:21:00,21.2,85.74,6.9,,0.0,3.0,,OVC,M,M
BDL,2014-01-02 04:51:00,21.92,84.47,5.8,1027.2,0.01,1.5,,OVC,M,M
BDL,2014-01-02 05:51:00,21.02,87.75,3.5,1026.6,0.02,1.5,,OVC,M,M
BDL,2014-01-02 06:51:00,21.02,87.75,5.8,1026.3,0.02,1.5,,OVC,M,M
BDL,2014-01-02 07:43:00,19.4,92.57,6.9,,0.02,2.0,,FEW,OVC,M
BDL,2014-01-02 07:51:00,19.94,88.37,4.6,1026.0,0.02,2.0,,OVC,M,M
BDL,2014-01-02 07:59:00,19.4,92.57,5.8,,0.0,3.0,,OVC,M,M
BDL,2014-01-02 08:51:00,19.94,88.37,6.9,1025.3,0.0,5.0,,FEW,OVC,M
BDL,2014-01-02 09:51:00,19.94,88.37,9.2,1024.6,0.01,6.0,,OVC,M,M
BDL,2014-01-02 10:51:00,19.94,88.37,10.4,1024.0,0.0,7.0,,FEW,OVC,M
BDL,2014-01-02 11:49:00,19.4,85.63,11.5,,0.0,2.0,,SCT,OVC,M
BDL,2014-01-02 11:51:00,19.94,84.33,11.5,1023.8,0.0,2.5,,SCT,OVC,M
BDL,2014-01-02 12:20:00,19.4,85.63,12.7,,0.0,3.0,,OVC,M,M
BDL,2014-01-02 12:51:00,19.94,81.09,16.1,1023.8,0.0,3.0,,OVC,M,M
BDL,2014-01-02 13:02:00,19.4,79.16,12.7,,0.0,2.0,20.7,BKN,OVC,M
BDL,2014-01-02 13:32:00,17.6,85.51,13.8,,0.0,1.5,,OVC,M,M
BDL,2014-01-02 13:51:00,17.96,84.2,12.7,1023.6,0.01,1.5,,OVC,M,M
BDL,2014-01-02 14:48:00,17.6,79.0,15.0,,0.0,2.0,,OVC,M,M
BDL,2014-01-02 14:51:00,17.96,80.29,15.0,1022.8,0.01,2.0,,OVC,M,M
BDL,2014-01-02 15:25:00,17.6,79.0,12.7,,0.0,1.5,,OVC,M,M
BDL,2014-01-02 15:45:00,15.8,85.4,12.7,,0.01,2.0,20.7,SCT,BKN,OVC
BDL,2014-01-02 15:51:00,17.06,80.22,13.8,1021.4,0.01,2.0,,FEW,SCT,OVC
BDL,2014-01-02 16:23:00,15.8,85.4,11.5,,0.0,4.0,,SCT,OVC,M
BDL,2014-01-02 16:31:00,15.8,85.4,11.5,,0.0,4.0,,BKN,OVC,M
BDL,2014-01-02 16:46:00,15.8,78.84,16.1,,0.0,2.0,,OVC,M,M
BDL,2014-01-02 16:51:00,15.98,80.13,16.1,1019.3,0.0,2.0,,OVC,M,M
BDL,2014-01-02 17:28:00,15.8,78.84,15.0,,0.0,1.0,,OVC,M,M
BDL,2014-01-02 17:34:00,15.8,78.84,16.1,,0.0,1.0,,VV ,M,M
BDL,2014-01-02 17:51:00,15.98,80.13,13.8,1017.7,0.01,1.0,,BKN,BKN,OVC
BDL,2014-01-02 17:58:00,15.8,78.84,13.8,,0.0,0.75,,BKN,OVC,M
BDL,2014-01-02 18:07:00,15.8,78.84,16.1,,0.0,1.0,,BKN,BKN,OVC
BDL,2014-01-02 18:22:00,15.8,78.84,12.7,,0.0,1.0,,FEW,BKN,OVC
BDL,2014-01-02 18:51:00,15.08,83.33,16.1,1016.7,0.0,0.75,,BKN,OVC,M
BDL,2014-01-02 19:51:00,15.08,80.05,15.0,1015.4,0.01,0.75,,VV ,M,M
BDL,2014-01-02 20:51:00,15.08,80.05,15.0,1015.0,0.0,0.75,25.3,BKN,OVC,M
BDL,2014-01-02 21:13:00,14.0,85.28,13.8,,0.01,1.0,,FEW,BKN,OVC
BDL,2014-01-02 21:51:00,14.0,83.92,13.8,1014.7,0.01,1.25,,BKN,BKN,OVC
BDL,2014-01-02 22:25:00,14.0,78.68,16.1,,0.01,1.25,25.3,FEW,BKN,OVC
BDL,2014-01-02 22:51:00,12.92,83.85,15.0,1013.9,0.01,1.25,,FEW,BKN,OVC
BDL,2014-01-02 23:42:00,12.2,85.17,15.0,,0.0,0.75,,BKN,OVC,M
BDL,2014-01-02 23:49:00,12.2,85.17,13.8,,0.0,1.0,,BKN,BKN,OVC
BDL,2014-01-02 23:51:00,12.92,83.85,16.1,1013.2,0.0,1.0,,BKN,BKN,OVC
BDL,2014-01-03 00:29:00,12.2,78.51,17.3,,0.01,1.0,28.8,BKN,OVC,M
BDL,2014-01-03 00:43:00,12.2,85.17,13.8,,0.01,0.75,24.2,BKN,OVC,M
BDL,2014-01-03 00:51:00,12.02,79.79,18.4,1012.7,0.02,0.75,,BKN,OVC,M
BDL,2014-01-03 01:46:00,10.4,85.05,15.0,,0.02,0.75,24.2,BKN,OVC,M
BDL,2014-01-03 01:51:00,10.94,80.35,18.4,1011.6,0.02,0.75,26.5,BKN,OVC,M
BDL,2014-01-03 02:16:00,10.4,78.35,16.1,,0.01,0.75,,VV ,M,M
BDL,2014-01-03 02:40:00,8.6,84.93,19.6,,0.01,1.0,,VV ,M,M
BDL,2014-01-03 02:51:00,8.96,79.52,16.1,1010.8,0.02,1.0,26.5,VV ,M,M
BDL,2014-01-03 03:51:00,8.06,79.44,20.7,1010.0,0.01,1.0,25.3,VV ,M,M
BDL,2014-01-03 04:51:00,6.98,83.42,19.6,1009.4,0.02,1.0,,VV ,M,M
BDL,2014-01-03 05:51:00,6.98,83.42,16.1,1008.7,0.03,1.0,,VV ,M,M
BDL,2014-01-03 06:51:00,6.08,79.27,18.4,1007.8,0.02,1.25,,OVC,M,M
BDL,2014-01-03 07:51:00,6.08,79.27,18.4,1006.7,0.02,1.0,,VV ,M,M
BDL,2014-01-03 08:51:00,6.08,82.66,19.6,1006.3,0.02,0.75,33.4,VV ,M,M
BDL,2014-01-03 09:37:00,6.8,78.01,18.4,,0.01,1.0,26.5,VV ,M,M
BDL,2014-01-03 09:51:00,6.98,79.35,19.6,1007.2,0.01,1.25,27.6,OVC,M,M
BDL,2014-01-03 10:51:00,8.06,79.44,15.0,1008.3,0.02,1.25,20.7,OVC,M,M
BDL,2014-01-03 11:51:00,8.96,76.29,15.0,1010.1,0.0,2.0,25.3,OVC,M,M
BDL,2014-01-03 12:19:00,8.6,78.18,15.0,,0.0,1.75,27.6,OVC,M,M
BDL,2014-01-03 12:51:00,10.04,75.77,15.0,1011.7,0.0,1.5,23.0,OVC,M,M
BDL,2014-01-03 13:33:00,10.4,78.35,15.0,,0.0,2.0,19.6,OVC,M,M
BDL,2014-01-03 13:41:00,10.4,78.35,12.7,,0.0,4.0,,SCT,OVC,M
BDL,2014-01-03 13:51:00,10.4,78.35,9.2,,0.0,4.0,,FEW,BKN,OVC
