station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
PHBK,2014-01-01 00:56:00,78.08,62.05,6.9,1013.5,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 01:56:00,78.08,57.87,8.1,1013.5,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 02:56:00,78.08,57.87,6.9,1013.7,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 03:56:00,75.02,64.07,0.0,1013.7,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 04:56:00,71.96,76.13,0.0,1014.3,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 05:56:00,69.08,80.86,3.5,1014.7,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 06:56:00,68.0,83.91,4.6,1014.8,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 07:56:00,68.0,75.78,3.5,1015.1,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 08:56:00,66.92,81.22,5.8,1015.4,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 09:56:00,66.92,75.69,3.5,1014.9,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 10:56:00,66.02,81.15,3.5,1014.4,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 11:56:00,64.94,81.07,3.5,1014.0,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 12:56:00,66.02,81.15,0.0,1013.3,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 13:56:00,66.92,72.81,4.6,1013.4,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 14:56:00,66.02,78.08,4.6,1013.4,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 15:56:00,66.02,78.08,3.5,1013.7,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 16:56:00,64.04,83.66,5.8,1013.8,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 17:56:00,66.92,78.66,4.6,1014.2,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 18:56:00,71.96,73.3,0.0,1014.6,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 19:56:00,78.08,55.7,5.8,1014.9,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 20:56:00,78.98,54.08,4.6,1014.5,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 21:56:00,80.06,54.23,9.2,1013.5,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 22:27:00,80.6,54.3,8.1,,0.0,10.0,,FEW,M,M
PHBK,2014-01-01 22:56:00,80.06,62.29,10.4,1012.5,0.0,10.0,,CLR,M,M
PHBK,2014-01-01 23:56:00,80.06,55.97,11.5,1011.8,0.0,10.0,,CLR,M,M
PHBK,2014-01-02 00:56:00,78.98,64.54,6.9,1011.3,0.0,10.0,,BKN,M,M
PHBK,2014-01-02 01:56:00,78.98,64.54,8.1,1011.0,0.0,10.0,,CLR,M,M
PHBK,2014-01-02 02:56:00,78.08,71.19,5.8,1011.0,0.0,10.0,,CLR,M,M
