station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
AID,2014-01-02 13:53:00,17.6,79.0,13.8,,0.0,1.75,23.0,SCT,BKN,OVC
AID,2014-01-02 14:55:00,15.8,85.4,18.4,,0.0,1.5,23.0,BKN,OVC,M
AID,2014-01-02 15:56:00,15.8,78.84,13.8,,0.0,1.5,19.6,BKN,BKN,M
AID,2014-01-02 17:55:00,15.8,78.84,11.5,,0.0,4.0,,BKN,BKN,OVC
AID,2014-01-02 18:53:00,15.8,78.84,17.3,,0.0,2.5,20.7,BKN,OVC,M
AID,2014-01-02 19:50:00,15.8,78.84,18.4,,0.0,1.25,24.2,OVC,M,M
AID,2014-01-02 20:55:00,15.8,78.84,15.0,,0.0,1.25,21.9,OVC,M,M
AID,2014-01-03 13:45:00,-9.4,76.4,0.0,,0.0,10.0,,CLR,M,M
AID,2014-01-03 14:45:00,-0.4,77.32,5.8,,0.0,10.0,,CLR,M,M
AID,2014-01-03 15:46:00,5.0,77.84,5.8,,0.0,10.0,,CLR,M,M
AID,2014-01-03 16:46:00,8.6,60.72,11.5,,0.0,10.0,,CLR,M,M
AID,2014-01-03 17:47:00,12.2,47.46,11.5,,0.0,10.0,,CLR,M,M
AID,2014-01-03 18:48:00,14.0,47.77,11.5,,0.0,10.0,,CLR,M,M
AID,2014-01-03 19:46:00,14.0,43.85,17.3,,0.0,10.0,,CLR,M,M
AID,2014-01-03 20:46:00,15.8,40.53,11.5,,0.0,10.0,17.3,CLR,M,M
AID,2014-01-04 13:51:00,21.2,62.53,23.0,,0.0,10.0,34.5,CLR,M,M
AID,2014-01-04 14:47:00,24.8,58.22,17.3,,0.0,10.0,28.8,CLR,M,M
AID,2014-01-04 15:45:00,24.8,58.22,17.3,,0.0,10.0,28.8,CLR,M,M
AID,2014-01-04 16:47:00,26.6,54.03,17.3,,0.0,10.0,23.0,CLR,M,M
AID,2014-01-04 17:54:00,28.4,58.75,11.5,,0.0,10.0,17.3,CLR,M,M
AID,2014-01-04 18:47:00,30.2,59.01,11.5,,0.0,10.0,17.3,CLR,M,M
AID,2014-01-04 19:46:00,32.0,54.87,11.5,,0.0,10.0,17.3,CLR,M,M
AID,2014-01-04 20:57:00,32.0,54.87,11.5,,0.0,10.0,23.0,SCT,M,M
AID,2014-01-05 14:46:00,32.0,100.0,11.5,,0.0,0.75,,OVC,M,M
AID,2014-01-05 15:46:00,32.0,100.0,9.2,,0.0,0.5,,OVC,M,M
AID,2014-01-05 16:50:00,32.0,100.0,5.8,,0.0,0.5,,OVC,M,M
AID,2014-01-05 17:47:00,32.0,100.0,5.8,,0.0,0.5,,OVC,M,M
AID,2014-01-05 18:47:00,32.0,100.0,5.8,,0.0,0.25,,OVC,M,M
AID,2014-01-05 19:51:00,32.0,100.0,0.0,,0.0,0.25,,OVC,M,M
AID,2014-01-05 20:46:00,32.0,100.0,0.0,,0.0,0.75,,OVC,M,M
AID,2014-01-07 13:48:00,-13.0,69.27,9.2,,0.0,10.0,,CLR,M,M
AID,2014-01-07 14:45:00,-9.4,69.73,11.5,,0.0,10.0,,CLR,M,M
AID,2014-01-07 15:50:00,-5.8,64.11,9.2,,0.0,10.0,,CLR,M,M
AID,2014-01-07 16:51:00,-4.0,70.41,11.5,,0.0,10.0,,CLR,M,M
AID,2014-01-07 17:56:00,-0.4,64.88,11.5,,0.0,10.0,17.3,BKN,M,M
AID,2014-01-07 18:46:00,1.4,65.13,11.5,,0.0,10.0,17.3,SCT,M,M
AID,2014-01-07 19:52:00,5.0,65.62,11.5,,0.0,10.0,,BKN,M,M
AID,2014-01-07 20:47:00,6.8,65.87,11.5,,0.0,10.0,,SCT,M,M
AID,2014-01-08 13:50:00,12.2,72.33,8.1,,0.0,10.0,,OVC,M,M
AID,2014-01-08 14:46:00,15.8,72.73,6.9,,0.0,10.0,,SCT,BKN,M
