station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
1A6,2014-01-01 00:15:00,29.84,80.65,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 00:35:00,28.76,84.28,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 00:55:00,28.22,88.13,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 01:15:00,27.86,87.45,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 01:35:00,27.14,88.73,0.0,,0.0,7.0,,CLR,M,M
1A6,2014-01-01 01:55:00,27.5,87.43,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 02:15:00,26.6,89.38,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 02:35:00,26.24,90.72,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 02:55:00,25.7,91.38,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 03:15:00,25.7,92.08,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 03:35:00,25.34,92.06,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 03:55:00,25.16,92.76,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 04:15:00,24.8,92.74,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 04:35:00,24.8,92.74,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 04:55:00,24.62,92.74,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 05:15:00,23.72,94.84,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 05:35:00,23.9,94.85,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 05:55:00,24.26,94.86,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 06:15:00,23.9,94.85,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 06:35:00,23.72,94.84,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 06:55:00,23.18,96.28,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 07:15:00,23.54,94.12,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 07:35:00,22.82,95.55,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 07:55:00,23.0,95.55,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 08:15:00,22.64,94.1,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 08:35:00,22.64,94.82,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 08:55:00,22.28,94.81,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 09:15:00,22.64,92.67,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 09:35:00,22.1,94.08,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 09:55:00,21.74,94.08,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 10:15:00,22.1,92.66,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 10:35:00,21.56,94.07,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 10:55:00,21.2,93.34,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 11:15:00,21.38,94.07,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 11:35:00,21.2,94.06,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 11:55:00,21.2,92.63,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 12:15:00,21.02,94.06,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 12:35:00,20.66,94.05,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 12:55:00,20.84,93.33,0.0,,0.0,7.0,,CLR,M,M
1A6,2014-01-01 13:15:00,20.12,93.31,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 13:35:00,20.3,94.04,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 13:55:00,21.02,94.06,0.0,,0.0,7.0,,CLR,M,M
1A6,2014-01-01 14:15:00,22.28,95.54,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 14:35:00,24.26,94.86,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 14:55:00,27.14,90.08,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 15:15:00,28.94,88.16,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 15:35:00,31.28,78.38,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 15:55:00,33.44,73.49,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 16:15:00,36.86,70.65,0.0,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 16:35:00,42.08,49.67,8.1,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 16:55:00,42.62,46.15,8.1,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 17:15:00,42.98,46.21,11.5,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 17:35:00,43.52,45.26,11.5,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 17:55:00,44.6,44.42,6.9,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 18:15:00,45.86,43.31,9.2,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 18:35:00,46.04,40.5,8.1,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 18:55:00,46.94,39.45,10.4,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 19:15:00,47.12,38.89,10.4,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 19:35:00,47.3,37.76,11.5,,0.0,10.0,,CLR,M,M
1A6,2014-01-01 19:55:00,47.48,37.79,4.6,,0.0,10.0,,CLR,M,M
