station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
ACK,2014-01-01 00:53:00,26.96,62.83,8.1,1020.8,0.0,10.0,,CLR,M,M
ACK,2014-01-01 01:53:00,28.04,65.47,8.1,1020.8,0.0,10.0,,CLR,M,M
ACK,2014-01-01 02:53:00,28.94,60.69,11.5,1021.1,0.0,10.0,,CLR,M,M
ACK,2014-01-01 03:53:00,28.94,53.13,11.5,1021.5,0.0,10.0,,FEW,M,M
ACK,2014-01-01 04:53:00,28.04,55.12,12.7,1021.7,0.0,10.0,20.7,CLR,M,M
ACK,2014-01-01 05:53:00,28.04,52.57,12.7,1022.6,0.0,10.0,20.7,CLR,M,M
ACK,2014-01-01 06:53:00,26.96,48.36,15.0,1023.5,0.0,10.0,,CLR,M,M
ACK,2014-01-01 07:53:00,26.06,52.25,15.0,1024.5,0.0,10.0,24.2,CLR,M,M
ACK,2014-01-01 08:53:00,26.06,43.74,18.4,1025.0,0.0,10.0,25.3,CLR,M,M
ACK,2014-01-01 09:53:00,24.98,41.8,24.2,1025.8,0.0,10.0,31.1,CLR,M,M
ACK,2014-01-01 10:53:00,24.98,43.91,20.7,1026.2,0.0,10.0,33.4,CLR,M,M
ACK,2014-01-01 11:53:00,24.98,45.74,13.8,1027.4,0.0,10.0,21.9,CLR,M,M
ACK,2014-01-01 12:53:00,26.96,38.5,15.0,1027.8,0.0,10.0,,CLR,M,M
ACK,2014-01-01 13:53:00,28.94,33.78,15.0,1028.3,0.0,10.0,24.2,CLR,M,M
ACK,2014-01-01 14:53:00,28.94,33.78,15.0,1028.7,0.0,10.0,,CLR,M,M
ACK,2014-01-01 15:53:00,30.02,35.68,17.3,1028.3,0.0,10.0,23.0,CLR,M,M
ACK,2014-01-01 16:53:00,30.92,37.63,12.7,1027.5,0.0,10.0,21.9,CLR,M,M
ACK,2014-01-01 17:53:00,30.02,40.65,11.5,1027.2,0.0,10.0,18.4,BKN,M,M
ACK,2014-01-01 18:53:00,30.92,46.74,9.2,1027.2,0.0,10.0,,OVC,M,M
ACK,2014-01-01 19:53:00,30.92,51.38,12.7,1027.3,0.0,10.0,,SCT,M,M
ACK,2014-01-01 20:53:00,30.02,50.84,9.2,1027.3,0.0,10.0,,CLR,M,M
ACK,2014-01-01 21:53:00,28.94,48.69,8.1,1027.3,0.0,10.0,,BKN,M,M
ACK,2014-01-01 22:53:00,28.94,46.41,8.1,1027.8,0.0,10.0,,OVC,M,M
ACK,2014-01-01 23:53:00,28.94,46.41,8.1,1028.2,0.0,10.0,,OVC,M,M
ACK,2014-01-02 00:53:00,28.04,48.15,0.0,1028.1,0.0,10.0,,CLR,M,M
ACK,2014-01-02 01:53:00,26.96,54.95,0.0,1028.3,0.0,10.0,,FEW,M,M
ACK,2014-01-02 02:53:00,26.06,59.81,0.0,1028.3,0.0,10.0,,SCT,M,M
ACK,2014-01-02 03:53:00,26.06,59.81,4.6,1028.1,0.0,10.0,,FEW,M,M
ACK,2014-01-02 04:53:00,28.04,50.52,5.8,1027.5,0.0,10.0,,OVC,M,M
ACK,2014-01-02 05:53:00,28.94,48.69,5.8,1026.5,0.0,10.0,,OVC,M,M
ACK,2014-01-02 06:53:00,28.94,50.66,5.8,1026.4,0.0,10.0,,OVC,M,M
ACK,2014-01-02 07:53:00,30.02,50.84,4.6,1026.1,0.0,10.0,,OVC,M,M
ACK,2014-01-02 08:53:00,30.92,53.44,9.2,1024.6,0.0,10.0,,OVC,M,M
ACK,2014-01-02 09:53:00,30.92,55.99,12.7,1024.3,0.0,10.0,,OVC,M,M
ACK,2014-01-02 10:53:00,32.0,55.72,12.7,1023.6,0.0,10.0,,OVC,M,M
ACK,2014-01-02 11:48:00,32.0,74.44,12.7,,0.0,10.0,,FEW,BKN,OVC
ACK,2014-01-02 11:53:00,32.0,75.0,13.8,1022.4,0.0,10.0,,FEW,BKN,OVC
ACK,2014-01-02 12:45:00,32.0,80.22,12.7,,0.0,1.75,20.7,FEW,BKN,OVC
ACK,2014-01-02 12:53:00,32.0,85.12,13.8,1022.3,0.0,1.25,19.6,FEW,BKN,OVC
ACK,2014-01-02 13:33:00,32.0,86.39,13.8,,0.0,1.0,20.7,BKN,OVC,M
ACK,2014-01-02 13:53:00,32.0,92.29,16.1,1021.2,0.01,1.0,23.0,OVC,M,M
ACK,2014-01-02 14:02:00,32.0,92.97,16.1,,0.0,0.75,,OVC,M,M
ACK,2014-01-02 14:53:00,33.08,88.37,13.8,1020.5,0.01,0.75,21.9,OVC,M,M
ACK,2014-01-02 15:53:00,33.08,91.66,16.1,1018.4,0.01,3.0,25.3,BKN,BKN,OVC
