station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
2G4,2014-01-01 00:00:00,17.6,85.51,8.1,,0.0,10.0,20.7,BKN,M,M
2G4,2014-01-01 00:20:00,17.6,85.51,11.5,,0.0,10.0,,BKN,M,M
2G4,2014-01-01 00:40:00,17.6,85.51,11.5,,0.0,10.0,18.4,SCT,M,M
2G4,2014-01-01 01:00:00,17.6,85.51,12.7,,0.0,10.0,20.7,SCT,M,M
2G4,2014-01-01 01:20:00,17.6,85.51,15.0,,0.0,10.0,20.7,CLR,M,M
2G4,2014-01-01 01:40:00,19.4,79.16,10.4,,0.0,10.0,19.6,CLR,M,M
2G4,2014-01-01 02:00:00,19.4,79.16,10.4,,0.0,10.0,18.4,SCT,M,M
2G4,2014-01-01 02:20:00,19.4,79.16,9.2,,0.0,10.0,21.9,CLR,M,M
2G4,2014-01-01 02:40:00,19.4,79.16,9.2,,0.0,10.0,23.0,SCT,M,M
2G4,2014-01-01 03:00:00,19.4,85.63,12.7,,0.0,10.0,18.4,SCT,M,M
2G4,2014-01-01 03:20:00,19.4,85.63,11.5,,0.0,10.0,18.4,BKN,M,M
2G4,2014-01-01 03:40:00,21.2,79.31,11.5,,0.0,10.0,25.3,OVC,M,M
2G4,2014-01-01 04:00:00,21.2,79.31,6.9,,0.0,10.0,,OVC,M,M
2G4,2014-01-01 04:20:00,21.2,73.32,13.8,,0.0,10.0,24.2,OVC,M,M
2G4,2014-01-01 04:40:00,21.2,73.32,8.1,,0.0,10.0,16.1,OVC,M,M
2G4,2014-01-01 05:00:00,21.2,79.31,10.4,,0.0,10.0,17.3,OVC,M,M
2G4,2014-01-01 05:20:00,23.0,73.51,9.2,,0.0,10.0,18.4,OVC,M,M
2G4,2014-01-01 05:40:00,21.2,79.31,11.5,,0.0,10.0,18.4,SCT,OVC,M
2G4,2014-01-01 06:00:00,21.2,79.31,12.7,,0.0,10.0,17.3,SCT,M,M
2G4,2014-01-01 06:20:00,21.2,79.31,8.1,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 06:40:00,21.2,79.31,6.9,,0.0,10.0,,SCT,M,M
2G4,2014-01-01 07:00:00,21.2,79.31,11.5,,0.0,10.0,19.6,BKN,BKN,M
2G4,2014-01-01 07:20:00,21.2,79.31,8.1,,0.0,10.0,,BKN,BKN,M
2G4,2014-01-01 07:40:00,21.2,79.31,6.9,,0.0,10.0,,BKN,M,M
2G4,2014-01-01 08:00:00,21.2,85.74,10.4,,0.0,10.0,16.1,OVC,M,M
2G4,2014-01-01 08:20:00,21.2,85.74,11.5,,0.0,10.0,16.1,OVC,M,M
2G4,2014-01-01 08:40:00,21.2,85.74,9.2,,0.0,10.0,,OVC,M,M
2G4,2014-01-01 09:00:00,21.2,85.74,9.2,,0.0,10.0,,OVC,M,M
2G4,2014-01-01 09:20:00,23.0,79.47,9.2,,0.0,10.0,,OVC,M,M
2G4,2014-01-01 09:40:00,21.2,85.74,9.2,,0.0,10.0,,BKN,M,M
2G4,2014-01-01 10:00:00,21.2,85.74,8.1,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 10:20:00,21.2,85.74,9.2,,0.0,10.0,16.1,CLR,M,M
2G4,2014-01-01 10:40:00,21.2,85.74,9.2,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 11:00:00,21.2,85.74,9.2,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 11:20:00,21.2,85.74,6.9,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 11:40:00,21.2,85.74,8.1,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 12:00:00,21.2,85.74,6.9,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 12:20:00,21.2,85.74,6.9,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 12:35:00,21.2,85.74,6.9,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 12:55:00,21.2,85.74,8.1,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 13:20:00,21.2,85.74,10.4,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 13:40:00,23.0,79.47,10.4,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 14:00:00,26.6,68.4,11.5,,0.0,10.0,17.3,CLR,M,M
2G4,2014-01-01 14:20:00,26.6,68.4,11.5,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 14:40:00,28.4,63.51,11.5,,0.0,10.0,17.3,CLR,M,M
2G4,2014-01-01 15:00:00,28.4,63.51,11.5,,0.0,10.0,18.4,CLR,M,M
2G4,2014-01-01 15:20:00,30.2,54.59,10.4,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 15:45:00,32.0,50.75,8.1,,0.0,10.0,,CLR,M,M
2G4,2014-01-01 16:05:00,32.0,50.75,11.5,,0.0,10.0,,CLR,M,M
