station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
AIZ,2014-01-01 00:15:00,48.2,31.57,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 00:35:00,48.2,31.57,9.2,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 00:55:00,46.4,33.79,10.4,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 01:15:00,44.6,36.18,9.2,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 01:35:00,44.6,36.18,8.1,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 01:55:00,44.6,36.18,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 02:15:00,42.8,38.75,9.2,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 02:35:00,42.8,38.75,9.2,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 02:55:00,42.8,38.75,9.2,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 03:15:00,42.8,38.75,8.1,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 03:35:00,41.0,41.54,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 03:55:00,41.0,41.54,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 04:15:00,41.0,41.54,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 04:35:00,39.2,44.55,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 04:55:00,37.4,47.8,8.1,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 05:15:00,37.4,47.8,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 05:35:00,37.4,47.8,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 05:55:00,37.4,47.8,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 06:15:00,37.4,47.8,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 06:35:00,35.6,51.33,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 06:55:00,35.6,51.33,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 07:15:00,35.6,51.33,3.5,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 07:35:00,35.6,51.33,3.5,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 07:55:00,35.6,51.33,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 08:15:00,35.6,51.33,3.5,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 08:35:00,33.8,55.14,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 08:55:00,33.8,59.53,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 09:15:00,33.8,55.14,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 09:35:00,33.8,59.53,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 09:55:00,32.0,63.99,6.9,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 10:15:00,32.0,63.99,5.8,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 10:35:00,32.0,63.99,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 10:55:00,32.0,63.99,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 11:15:00,32.0,63.99,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 11:35:00,30.2,68.83,5.8,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 11:55:00,30.2,68.83,4.6,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 12:15:00,30.2,68.83,5.8,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 12:35:00,30.2,68.83,5.8,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 12:55:00,30.2,68.83,5.8,,0.0,10.0,,CLR,M,M
AIZ,2014-01-01 13:15:00,30.2,74.26,4.6,,0.0,10.0,,CLR,M,M
