station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
01M,2014-01-01 00:15:00,33.8,85.86,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 00:35:00,33.44,87.11,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 00:55:00,32.54,90.97,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 01:15:00,31.82,93.65,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 01:35:00,32.0,92.97,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 01:55:00,30.92,95.01,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 02:15:00,30.56,95.0,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 02:35:00,30.74,94.31,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 02:55:00,31.1,95.01,0.0,,0.0,7.0,,CLR,M,M
01M,2014-01-01 03:15:00,29.66,94.28,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 03:35:00,29.3,96.39,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 03:55:00,29.84,95.69,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 04:15:00,29.3,96.39,0.0,,0.0,7.0,,CLR,M,M
01M,2014-01-01 04:35:00,29.84,96.39,0.0,,0.0,5.0,,CLR,M,M
01M,2014-01-01 04:55:00,29.48,96.39,0.0,,0.0,5.0,,CLR,M,M
01M,2014-01-01 05:15:00,28.4,97.81,0.0,,0.0,3.0,,CLR,M,M
01M,2014-01-01 05:35:00,28.58,97.81,0.0,,0.0,2.5,,CLR,M,M
01M,2014-01-01 05:55:00,27.68,97.08,0.0,,0.0,5.0,,CLR,M,M
01M,2014-01-01 06:15:00,27.86,97.08,0.0,,0.0,5.0,,CLR,M,M
01M,2014-01-01 06:35:00,27.32,97.07,0.0,,0.0,7.0,,CLR,M,M
01M,2014-01-01 06:55:00,27.14,97.8,0.0,,0.0,7.0,,CLR,M,M
01M,2014-01-01 07:15:00,26.96,97.79,0.0,,0.0,7.0,,CLR,M,M
01M,2014-01-01 07:35:00,26.78,97.79,0.0,,0.0,7.0,,CLR,M,M
01M,2014-01-01 07:55:00,25.88,97.05,0.0,,0.0,7.0,,CLR,M,M
01M,2014-01-01 08:15:00,26.6,95.62,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 08:35:00,26.06,94.19,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 08:55:00,26.6,96.34,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 09:15:00,25.52,94.18,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 09:35:00,25.7,96.33,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 09:55:00,25.52,94.18,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 10:15:00,25.34,95.6,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 10:35:00,25.7,96.33,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 10:55:00,25.34,95.6,3.5,,0.0,10.0,,CLR,M,M
01M,2014-01-01 11:15:00,25.52,95.6,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 11:35:00,26.06,94.19,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 11:55:00,25.7,94.18,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 12:15:00,27.5,92.83,4.6,,0.0,10.0,,CLR,M,M
01M,2014-01-01 12:35:00,27.86,91.47,3.5,,0.0,10.0,,CLR,M,M
01M,2014-01-01 12:55:00,28.04,91.47,3.5,,0.0,10.0,,CLR,M,M
01M,2014-01-01 13:15:00,28.04,90.79,3.5,,0.0,10.0,,CLR,M,M
01M,2014-01-01 13:35:00,28.04,90.79,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 13:55:00,28.4,90.13,3.5,,0.0,10.0,,CLR,M,M
01M,2014-01-01 14:15:00,28.94,90.16,4.6,,0.0,10.0,,CLR,M,M
01M,2014-01-01 14:35:00,30.56,88.9,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 14:55:00,32.0,88.97,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 15:15:00,34.16,86.51,3.5,,0.0,10.0,,CLR,M,M
01M,2014-01-01 15:35:00,38.84,76.78,4.6,,0.0,10.0,,CLR,M,M
01M,2014-01-01 15:55:00,40.82,73.17,8.1,,0.0,10.0,,CLR,M,M
01M,2014-01-01 16:15:00,42.62,68.76,9.2,,0.0,10.0,,CLR,M,M
01M,2014-01-01 16:35:00,44.06,67.45,6.9,,0.0,10.0,,CLR,M,M
01M,2014-01-01 16:55:00,45.5,65.72,5.8,,0.0,10.0,,CLR,M,M
01M,2014-01-01 17:15:00,46.58,63.54,6.9,,0.0,10.0,,CLR,M,M
01M,2014-01-01 17:35:00,46.76,61.32,5.8,,0.0,10.0,,CLR,M,M
01M,2014-01-01 17:55:00,48.02,59.76,4.6,,0.0,10.0,,CLR,M,M
01M,2014-01-01 18:15:00,49.1,58.64,4.6,,0.0,10.0,,CLR,M,M
01M,2014-01-01 18:35:00,50.18,55.92,4.6,,0.0,10.0,,CLR,M,M
01M,2014-01-01 18:55:00,50.9,54.06,5.8,,0.0,10.0,,CLR,M,M
01M,2014-01-01 19:15:00,51.44,53.75,6.9,,0.0,10.0,,CLR,M,M
01M,2014-01-01 19:35:00,51.62,50.78,9.2,,0.0,10.0,,CLR,M,M
01M,2014-01-01 19:55:00,52.16,50.14,5.8,,0.0,10.0,,CLR,M,M
01M,2014-01-01 20:15:00,52.7,48.8,4.6,,0.0,10.0,,CLR,M,M
01M,2014-01-01 20:35:00,52.88,46.76,6.9,,0.0,10.0,,CLR,M,M
01M,2014-01-01 20:55:00,53.6,48.59,5.8,,0.0,10.0,,CLR,M,M
01M,2014-01-01 21:15:00,52.88,47.79,6.9,,0.0,10.0,,CLR,M,M
01M,2014-01-01 21:35:00,51.98,49.4,3.5,,0.0,10.0,,CLR,M,M
01M,2014-01-01 21:55:00,51.8,50.81,6.9,,0.0,10.0,,CLR,M,M
01M,2014-01-01 22:15:00,50.54,52.47,3.5,,0.0,10.0,,CLR,M,M
01M,2014-01-01 22:35:00,49.28,56.6,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 22:55:00,47.66,60.57,0.0,,0.0,10.0,,CLR,M,M
01M,2014-01-01 23:15:00,47.12,61.37,4.6,,0.0,10.0,,CLR,M,M
01M,2014-01-01 23:35:00,45.68,63.88,3.5,,0.0,10.0,,SCT,M,M
01M,2014-01-01 23:55:00,44.96,66.6,0.0,,0.0,10.0,,SCT,SCT,M
01M,2014-01-02 00:15:00,44.6,68.49,3.5,,0.0,10.0,,BKN,M,M
01M,2014-01-02 00:35:00,44.96,69.52,0.0,,0.0,10.0,,BKN,M,M
01M,2014-01-02 00:55:00,44.24,71.97,4.6,,0.0,10.0,,BKN,M,M
01M,2014-01-02 01:15:00,45.14,71.55,5.8,,0.0,10.0,,BKN,M,M
01M,2014-01-02 01:35:00,44.24,74.57,3.5,,0.0,10.0,,OVC,M,M
01M,2014-01-02 01:55:00,44.6,74.08,4.6,,0.0,10.0,,BKN,M,M
01M,2014-01-02 02:15:00,44.96,75.71,8.1,,0.0,10.0,,OVC,M,M
01M,2014-01-02 02:35:00,45.5,74.7,8.1,,0.0,10.0,,BKN,M,M
01M,2014-01-02 02:55:00,45.5,75.76,4.6,,0.0,10.0,,SCT,OVC,M
01M,2014-01-02 03:15:00,45.5,78.47,8.1,,0.0,10.0,,SCT,OVC,M
