station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
8S0,2014-01-01 00:20:00,,,0.0,,0.0,,,M,M,M
8S0,2014-01-01 00:50:00,,,0.0,,0.0,,,M,M,M
8S0,2014-01-01 01:20:00,,,3.5,,0.0,,,M,M,M
8S0,2014-01-01 01:50:00,,,4.6,,0.0,,,M,M,M
8S0,2014-01-01 02:20:00,,,4.6,,0.0,,,M,M,M
8S0,2014-01-01 02:50:00,,,0.0,,0.0,,,M,M,M
8S0,2014-01-01 03:20:00,,,0.0,,0.0,,,M,M,M
8S0,2014-01-01 03:50:00,,,0.0,,0.0,,,M,M,M
8S0,2014-01-01 04:20:00,,,0.0,,0.0,,,M,M,M
8S0,2014-01-01 04:50:00,,,0.0,,0.0,,,M,M,M
8S0,2014-01-01 05:20:00,,,6.9,,0.0,,,M,M,M
8S0,2014-01-01 05:45:00,,,6.9,,0.0,,,M,M,M
8S0,2014-01-01 06:20:00,,,6.9,,0.0,,,M,M,M
8S0,2014-01-01 06:50:00,,,10.4,,0.0,,,M,M,M
8S0,2014-01-01 07:20:00,,,9.2,,0.0,,,M,M,M
8S0,2014-01-01 07:50:00,,,9.2,,0.0,,,M,M,M
8S0,2014-01-01 08:20:00,,,3.5,,0.0,,,M,M,M
8S0,2014-01-01 09:20:00,,,0.0,,0.0,,,M,M,M
8S0,2014-01-01 09:50:00,,,3.5,,0.0,,,M,M,M
8S0,2014-01-01 10:20:00,,,4.6,,0.0,,,M,M,M
8S0,2014-01-01 10:50:00,,,2.3,,0.0,,,M,M,M
8S0,2014-01-01 11:20:00,,,4.6,,0.0,,,M,M,M
8S0,2014-01-01 11:50:00,,,5.8,,0.0,,,M,M,M
8S0,2014-01-01 12:20:00,,,5.8,,0.0,,,M,M,M
8S0,2014-01-01 12:50:00,,,3.5,,0.0,,,M,M,M
8S0,2014-01-01 13:20:00,,,0.0,,0.0,,,M,M,M
8S0,2014-01-01 13:50:00,,,4.6,,0.0,,,M,M,M
8S0,2014-01-01 14:20:00,,,11.5,,0.0,,,M,M,M
8S0,2014-01-01 15:20:00,,,6.9,,0.0,,,M,M,M
8S0,2014-01-01 15:50:00,,,8.1,,0.0,,,M,M,M
8S0,2014-01-01 16:20:00,,,9.2,,0.0,,,M,M,M
8S0,2014-01-01 16:50:00,,,9.2,,0.0,,,M,M,M
8S0,2014-01-01 17:20:00,,,13.8,,0.0,,,M,M,M
8S0,2014-01-01 17:50:00,,,15.0,,0.0,,,M,M,M
