station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
06D,2014-01-01 00:15:00,-14.8,75.83,5.8,,0.0,10.0,,BKN,OVC,M
06D,2014-01-01 00:35:00,-14.8,75.83,5.8,,0.0,10.0,,BKN,OVC,M
06D,2014-01-01 00:55:00,-13.0,69.27,8.1,,0.0,10.0,,OVC,M,M
06D,2014-01-01 01:15:00,-13.0,69.27,8.1,,0.0,10.0,,SCT,OVC,M
06D,2014-01-01 01:35:00,-13.0,69.27,6.9,,0.0,10.0,,SCT,OVC,M
06D,2014-01-01 01:55:00,-13.0,69.27,6.9,,0.0,10.0,,OVC,M,M
06D,2014-01-01 02:15:00,-13.0,69.27,8.1,,0.0,10.0,,SCT,OVC,M
06D,2014-01-01 02:35:00,-13.0,69.27,9.2,,0.0,10.0,,FEW,OVC,M
06D,2014-01-01 02:55:00,-13.0,69.27,6.9,,0.0,10.0,,OVC,M,M
06D,2014-01-01 03:15:00,-13.0,69.27,5.8,,0.0,10.0,,OVC,M,M
06D,2014-01-01 03:35:00,-13.0,69.27,5.8,,0.0,10.0,,BKN,OVC,M
06D,2014-01-01 03:55:00,-13.0,69.27,3.5,,0.0,10.0,,SCT,BKN,OVC
06D,2014-01-01 04:15:00,-13.0,69.27,3.5,,0.0,10.0,,FEW,SCT,OVC
06D,2014-01-01 04:35:00,-13.0,69.27,0.0,,0.0,10.0,,FEW,OVC,M
06D,2014-01-01 04:55:00,-13.0,76.02,3.5,,0.0,10.0,,BKN,OVC,M
06D,2014-01-01 05:15:00,-13.0,69.27,3.5,,0.0,10.0,,BKN,OVC,M
06D,2014-01-01 05:35:00,-13.0,76.02,5.8,,0.0,10.0,,OVC,M,M
06D,2014-01-01 05:55:00,-13.0,76.02,5.8,,0.0,10.0,,OVC,M,M
06D,2014-01-01 06:15:00,-13.0,76.02,6.9,,0.0,10.0,,OVC,M,M
06D,2014-01-01 06:35:00,,,5.8,,0.0,10.0,,OVC,M,M
06D,2014-01-01 06:55:00,-13.0,76.02,6.9,,0.0,10.0,,OVC,M,M
06D,2014-01-01 07:15:00,,,5.8,,0.0,10.0,,OVC,M,M
06D,2014-01-01 07:35:00,,,6.9,,0.0,9.0,,BKN,OVC,M
06D,2014-01-01 07:55:00,-13.0,76.02,6.9,,0.0,9.0,,BKN,OVC,M
06D,2014-01-01 08:15:00,-13.0,76.02,4.6,,0.0,9.0,,BKN,OVC,M
06D,2014-01-01 08:35:00,-13.0,76.02,3.5,,0.0,4.0,,OVC,M,M
06D,2014-01-01 08:55:00,-13.0,76.02,4.6,,0.0,10.0,,OVC,M,M
06D,2014-01-01 09:15:00,-11.2,69.5,5.8,,0.0,10.0,,SCT,BKN,OVC
