station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
AFK,2014-01-01 00:15:00,30.38,69.38,10.4,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 00:35:00,28.04,68.04,19.6,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 00:55:00,23.72,71.32,17.3,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 01:15:00,21.56,72.21,18.4,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 01:35:00,19.22,73.69,18.4,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 01:55:00,18.5,75.4,13.8,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 02:15:00,17.6,75.3,17.3,,0.0,10.0,21.9,CLR,M,M
AFK,2014-01-01 02:35:00,17.24,75.27,13.8,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 02:55:00,16.88,76.45,13.8,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 03:15:00,16.52,75.8,15.0,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 03:35:00,15.62,76.32,16.1,,0.0,10.0,21.9,CLR,M,M
AFK,2014-01-01 03:55:00,15.26,77.53,12.7,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 04:15:00,14.9,78.12,12.7,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 04:35:00,14.9,78.76,11.5,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 04:55:00,14.54,78.73,12.7,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 05:15:00,14.54,78.73,10.4,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 05:35:00,14.0,80.61,10.4,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 05:55:00,14.0,81.26,10.4,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 06:15:00,14.0,79.96,10.4,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 06:35:00,14.0,79.96,11.5,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 06:55:00,14.0,81.26,11.5,,0.0,10.0,16.1,CLR,M,M
AFK,2014-01-01 07:15:00,14.0,80.61,10.4,,0.0,10.0,,CLR,M,M
AFK,2014-01-01 07:35:00,13.82,81.25,10.4,,0.0,10.0,,BKN,M,M
AFK,2014-01-01 07:55:00,13.1,81.85,9.2,,0.0,10.0,,BKN,M,M
AFK,2014-01-01 08:15:00,13.1,81.85,11.5,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 08:35:00,13.1,81.85,9.2,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 08:55:00,13.1,81.85,11.5,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 09:15:00,12.92,82.5,13.8,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 09:35:00,12.92,82.5,13.8,,0.0,10.0,,BKN,M,M
AFK,2014-01-01 09:55:00,12.74,81.82,13.8,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 10:15:00,12.2,81.12,13.8,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 10:35:00,12.02,81.1,13.8,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 10:55:00,11.84,79.77,15.0,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 11:15:00,11.84,79.77,13.8,,0.0,10.0,18.4,OVC,M,M
AFK,2014-01-01 11:35:00,11.66,80.41,16.1,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 11:55:00,11.66,80.41,13.8,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 12:15:00,11.66,80.41,13.8,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 12:35:00,11.66,80.41,15.0,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 12:55:00,12.2,79.16,12.7,,0.0,10.0,18.4,OVC,M,M
AFK,2014-01-01 13:15:00,12.38,79.82,12.7,,0.0,10.0,,BKN,OVC,M
AFK,2014-01-01 13:35:00,12.74,79.2,15.0,,0.0,10.0,,BKN,OVC,M
AFK,2014-01-01 13:55:00,12.92,79.22,13.8,,0.0,10.0,18.4,OVC,M,M
AFK,2014-01-01 14:15:00,13.1,78.59,15.0,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 14:35:00,13.46,77.36,11.5,,0.0,10.0,,BKN,OVC,M
AFK,2014-01-01 14:55:00,13.64,76.75,15.0,,0.0,7.0,,BKN,OVC,M
AFK,2014-01-01 15:15:00,13.64,76.75,13.8,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 15:35:00,13.28,79.9,17.3,,0.0,1.25,,BKN,OVC,M
AFK,2014-01-01 15:55:00,13.1,84.54,16.1,,0.0,1.0,,BKN,OVC,M
AFK,2014-01-01 16:15:00,12.74,85.2,18.4,,0.0,1.0,,OVC,M,M
AFK,2014-01-01 16:35:00,12.02,85.15,16.1,,0.0,0.75,20.7,OVC,M,M
AFK,2014-01-01 16:55:00,11.3,83.73,17.3,,0.0,1.0,21.9,OVC,M,M
AFK,2014-01-01 17:15:00,11.12,82.36,18.4,,0.0,1.25,,SCT,OVC,M
AFK,2014-01-01 17:35:00,10.58,84.37,19.6,,0.0,0.75,23.0,OVC,M,M
AFK,2014-01-01 17:55:00,10.22,85.03,15.0,,0.0,0.5,19.6,OVC,M,M
AFK,2014-01-01 18:15:00,10.04,83.64,12.7,,0.0,0.5,,OVC,M,M
AFK,2014-01-01 18:35:00,9.68,84.3,16.1,,0.0,0.5,,OVC,M,M
AFK,2014-01-01 18:55:00,9.5,84.99,17.3,,0.0,0.5,23.0,OVC,M,M
AFK,2014-01-01 19:15:00,9.5,84.99,17.3,,0.0,0.75,,OVC,M,M
AFK,2014-01-01 19:35:00,9.14,82.89,17.3,,0.0,1.0,,OVC,M,M
AFK,2014-01-01 19:55:00,9.32,82.9,15.0,,0.0,1.0,21.9,OVC,M,M
AFK,2014-01-01 20:15:00,8.78,81.51,15.0,,0.0,1.0,,OVC,M,M
AFK,2014-01-01 20:35:00,9.32,82.22,16.1,,0.0,1.25,20.7,OVC,M,M
AFK,2014-01-01 20:55:00,9.5,84.29,18.4,,0.0,1.25,,OVC,M,M
AFK,2014-01-01 21:15:00,9.68,81.58,17.3,,0.0,3.0,23.0,BKN,BKN,OVC
AFK,2014-01-01 21:35:00,10.22,78.98,16.1,,0.0,10.0,,SCT,SCT,OVC
AFK,2014-01-01 21:55:00,10.4,77.07,15.0,,0.0,10.0,,SCT,OVC,M
AFK,2014-01-01 22:15:00,10.22,76.41,12.7,,0.0,10.0,19.6,OVC,M,M
AFK,2014-01-01 22:35:00,10.04,76.4,16.1,,0.0,10.0,20.7,SCT,OVC,M
AFK,2014-01-01 22:55:00,9.86,77.65,16.1,,0.0,10.0,,OVC,M,M
AFK,2014-01-01 23:15:00,9.5,76.98,15.0,,0.0,10.0,,OVC,M,M
