station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
1P1,2014-01-01 00:15:00,6.44,89.11,0.0,,0.0,10.0,,SCT,BKN,M
1P1,2014-01-01 00:35:00,5.72,90.57,0.0,,0.0,5.0,,SCT,SCT,M
1P1,2014-01-01 00:55:00,4.1,92.02,0.0,,0.0,10.0,,SCT,SCT,BKN
1P1,2014-01-01 01:15:00,3.74,90.48,0.0,,0.0,7.0,,SCT,SCT,BKN
1P1,2014-01-01 01:35:00,3.02,88.94,0.0,,0.0,7.0,,SCT,SCT,SCT
1P1,2014-01-01 01:55:00,2.3,88.9,0.0,,0.0,7.0,,SCT,BKN,BKN
1P1,2014-01-01 02:15:00,1.58,87.37,0.0,,0.0,10.0,,SCT,BKN,OVC
1P1,2014-01-01 02:35:00,0.86,88.08,0.0,,0.0,7.0,,SCT,SCT,SCT
1P1,2014-01-01 02:55:00,-0.76,85.74,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 03:15:00,-2.02,87.16,0.0,,0.0,10.0,,SCT,SCT,BKN
1P1,2014-01-01 03:35:00,-2.2,84.91,0.0,,0.0,10.0,,SCT,SCT,SCT
1P1,2014-01-01 03:55:00,-1.84,86.42,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 04:15:00,-3.64,85.55,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 04:35:00,-4.18,84.03,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 04:55:00,-5.08,86.21,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 05:15:00,-5.26,85.45,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 05:35:00,-5.8,83.91,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 05:55:00,-6.52,84.61,0.0,,0.0,10.0,,SCT,SCT,M
1P1,2014-01-01 06:15:00,-5.98,83.9,0.0,,0.0,10.0,,SCT,BKN,OVC
1P1,2014-01-01 06:35:00,-4.9,84.72,0.0,,0.0,5.0,,SCT,BKN,OVC
1P1,2014-01-01 06:55:00,-3.28,84.83,0.0,,0.0,3.0,,SCT,BKN,OVC
1P1,2014-01-01 07:15:00,-2.2,84.17,0.0,,0.0,2.5,,SCT,BKN,OVC
1P1,2014-01-01 07:35:00,-1.3,84.97,0.0,,0.0,2.0,,SCT,BKN,OVC
1P1,2014-01-01 07:55:00,-1.3,84.97,0.0,,0.0,2.5,,SCT,BKN,OVC
1P1,2014-01-01 08:15:00,-1.3,84.97,0.0,,0.0,2.5,,SCT,OVC,M
1P1,2014-01-01 08:35:00,-1.3,84.97,0.0,,0.0,4.0,,SCT,BKN,OVC
1P1,2014-01-01 08:55:00,-2.38,85.64,0.0,,0.0,5.0,,SCT,SCT,SCT
1P1,2014-01-01 09:15:00,-3.46,84.82,0.0,,0.0,10.0,,SCT,SCT,M
1P1,2014-01-01 09:35:00,-4.54,83.27,0.0,,0.0,10.0,,SCT,SCT,SCT
1P1,2014-01-01 09:55:00,-6.16,83.14,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 10:15:00,-7.06,82.34,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 10:35:00,-8.14,82.25,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 10:55:00,-8.5,80.76,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 11:15:00,-9.22,81.42,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 11:35:00,-10.48,81.32,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 11:55:00,-11.2,82.75,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 12:15:00,-9.94,82.85,3.5,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 12:35:00,-8.5,82.22,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 12:55:00,-10.12,81.35,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 13:15:00,-7.6,83.03,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 13:35:00,-6.16,83.14,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 13:55:00,-4.18,84.03,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 14:15:00,-1.66,86.43,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 14:35:00,3.02,85.26,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 14:55:00,4.82,85.38,3.5,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 15:15:00,12.38,79.82,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 15:35:00,16.52,57.45,11.5,,0.0,10.0,18.4,CLR,M,M
1P1,2014-01-01 15:55:00,17.6,50.03,13.8,,0.0,10.0,18.4,CLR,M,M
1P1,2014-01-01 16:15:00,16.88,50.76,12.7,,0.0,10.0,20.7,CLR,M,M
1P1,2014-01-01 16:35:00,16.7,49.88,9.2,,0.0,10.0,23.0,SCT,M,M
1P1,2014-01-01 16:55:00,16.88,51.18,11.5,,0.0,10.0,19.6,SCT,M,M
1P1,2014-01-01 17:15:00,18.5,50.18,10.4,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 17:35:00,19.4,46.7,10.4,,0.0,10.0,18.4,SCT,SCT,M
1P1,2014-01-01 17:55:00,20.12,45.67,9.2,,0.0,10.0,,SCT,SCT,M
1P1,2014-01-01 18:15:00,20.3,44.94,4.6,,0.0,10.0,,SCT,BKN,M
1P1,2014-01-01 18:35:00,19.94,46.02,9.2,,0.0,10.0,,BKN,BKN,BKN
1P1,2014-01-01 18:55:00,21.02,42.87,9.2,,0.0,10.0,,BKN,OVC,M
1P1,2014-01-01 19:15:00,20.66,43.89,8.1,,0.0,10.0,17.3,OVC,M,M
1P1,2014-01-01 19:35:00,19.94,43.4,9.2,,0.0,10.0,17.3,BKN,M,M
1P1,2014-01-01 19:55:00,19.58,44.45,11.5,,0.0,10.0,20.7,SCT,M,M
1P1,2014-01-01 20:15:00,19.22,44.76,11.5,,0.0,10.0,17.3,CLR,M,M
1P1,2014-01-01 20:35:00,18.32,46.91,9.2,,0.0,10.0,,SCT,M,M
1P1,2014-01-01 20:55:00,17.6,47.98,9.2,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 21:15:00,17.6,46.79,6.9,,0.0,10.0,17.3,CLR,M,M
1P1,2014-01-01 21:35:00,17.42,47.95,11.5,,0.0,10.0,18.4,BKN,M,M
1P1,2014-01-01 21:55:00,15.8,54.54,3.5,,0.0,10.0,,SCT,M,M
1P1,2014-01-01 22:15:00,14.9,60.13,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-01 22:35:00,14.36,63.11,3.5,,0.0,10.0,,SCT,M,M
1P1,2014-01-01 22:55:00,13.46,66.2,0.0,,0.0,10.0,,BKN,M,M
1P1,2014-01-01 23:15:00,12.74,68.9,0.0,,0.0,10.0,,OVC,M,M
1P1,2014-01-01 23:35:00,10.94,74.0,0.0,,0.0,10.0,,OVC,M,M
1P1,2014-01-01 23:55:00,9.68,77.0,0.0,,0.0,10.0,,BKN,M,M
1P1,2014-01-02 00:15:00,7.52,82.08,0.0,,0.0,10.0,,SCT,M,M
1P1,2014-01-02 00:35:00,5.18,85.41,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-02 00:55:00,3.74,86.76,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-02 01:15:00,2.84,88.93,0.0,,0.0,10.0,,CLR,M,M
1P1,2014-01-02 01:35:00,3.02,90.45,0.0,,0.0,10.0,,SCT,M,M
1P1,2014-01-02 01:55:00,3.38,86.01,0.0,,0.0,10.0,,OVC,M,M
1P1,2014-01-02 02:15:00,4.1,87.51,3.5,,0.0,10.0,,OVC,M,M
1P1,2014-01-02 02:35:00,10.4,74.56,6.9,,0.0,10.0,,OVC,M,M
1P1,2014-01-02 02:55:00,11.12,67.0,5.8,,0.0,10.0,,OVC,M,M
1P1,2014-01-02 03:15:00,10.4,68.03,8.1,,0.0,10.0,,BKN,M,M
1P1,2014-01-02 03:35:00,10.04,66.3,6.9,,0.0,10.0,,BKN,M,M
1P1,2014-01-02 03:55:00,9.32,66.76,5.8,,0.0,10.0,,SCT,SCT,M
1P1,2014-01-02 04:15:00,8.6,67.8,3.5,,0.0,10.0,,SCT,M,M
1P1,2014-01-02 04:35:00,8.6,67.23,4.6,,0.0,10.0,,BKN,M,M
1P1,2014-01-02 04:55:00,8.6,66.11,6.9,,0.0,10.0,,OVC,M,M
1P1,2014-01-02 05:35:00,7.88,67.71,6.9,,0.0,10.0,,OVC,M,M
1P1,2014-01-02 05:55:00,7.7,65.99,10.4,,0.0,10.0,,OVC,M,M
1P1,2014-01-02 06:15:00,7.34,65.38,4.6,,0.0,10.0,,SCT,BKN,OVC
1P1,2014-01-02 06:35:00,6.98,64.77,5.8,,0.0,10.0,,SCT,BKN,OVC
1P1,2014-01-02 06:55:00,6.62,63.63,5.8,,0.0,10.0,,OVC,M,M
1P1,2014-01-02 07:15:00,6.62,65.28,6.9,,0.0,10.0,,OVC,M,M
1P1,2014-01-02 07:35:00,6.08,65.77,8.1,,0.0,10.0,,SCT,BKN,OVC
1P1,2014-01-02 07:55:00,5.72,68.01,8.1,,0.0,10.0,,SCT,BKN,OVC
1P1,2014-01-02 08:15:00,5.72,69.18,6.9,,0.0,5.0,,BKN,OVC,M
1P1,2014-01-02 08:35:00,5.0,72.73,6.9,,0.0,4.0,,SCT,SCT,OVC
1P1,2014-01-02 08:55:00,4.82,72.71,8.1,,0.0,5.0,,SCT,BKN,OVC
1P1,2014-01-02 09:15:00,4.64,75.85,9.2,,0.0,3.0,,BKN,OVC,M
1P1,2014-01-02 09:35:00,4.1,77.1,9.2,,0.0,3.0,,SCT,OVC,M
1P1,2014-01-02 09:55:00,4.1,74.51,9.2,,0.0,4.0,,BKN,OVC,M
1P1,2014-01-02 10:15:00,3.92,76.42,9.2,,0.0,2.5,,SCT,BKN,OVC
1P1,2014-01-02 10:35:00,3.74,79.05,9.2,,0.0,1.75,,OVC,M,M
1P1,2014-01-02 10:55:00,3.56,79.71,8.1,,0.0,1.75,,OVC,M,M
1P1,2014-01-02 11:15:00,3.2,82.44,8.1,,0.0,1.5,,OVC,M,M
1P1,2014-01-02 11:35:00,3.2,81.05,8.1,,0.0,1.5,,OVC,M,M
1P1,2014-01-02 11:55:00,3.2,81.05,6.9,,0.0,1.5,,OVC,M,M
1P1,2014-01-02 12:15:00,3.02,81.72,6.9,,0.0,1.25,,OVC,M,M
1P1,2014-01-02 12:35:00,2.84,81.02,5.8,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 12:55:00,2.84,81.02,6.9,,0.0,0.75,,OVC,M,M
1P1,2014-01-02 13:15:00,2.84,81.02,6.9,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 13:35:00,3.02,81.03,5.8,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 13:55:00,3.2,80.36,6.9,,0.0,1.25,,OVC,M,M
1P1,2014-01-02 14:15:00,3.2,81.05,5.8,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 14:35:00,3.56,81.08,4.6,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 14:55:00,4.1,79.09,5.8,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 15:15:00,4.46,79.79,3.5,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 15:35:00,4.82,79.82,3.5,,0.0,1.25,,OVC,M,M
1P1,2014-01-02 15:55:00,5.0,79.84,4.6,,0.0,1.5,,OVC,M,M
1P1,2014-01-02 16:15:00,5.72,79.23,3.5,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 16:35:00,5.9,81.27,0.0,,0.0,0.75,,OVC,M,M
1P1,2014-01-02 16:55:00,6.44,82.0,0.0,,0.0,0.5,,OVC,M,M
1P1,2014-01-02 17:15:00,6.62,82.01,0.0,,0.0,0.75,,OVC,M,M
1P1,2014-01-02 17:35:00,7.34,82.07,0.0,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 17:55:00,7.52,82.08,0.0,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 18:15:00,7.7,83.47,0.0,,0.0,0.5,,OVC,M,M
1P1,2014-01-02 18:35:00,8.06,84.89,0.0,,0.0,0.5,,OVC,M,M
1P1,2014-01-02 18:55:00,8.6,81.49,3.5,,0.0,0.75,,OVC,M,M
1P1,2014-01-02 19:15:00,8.42,80.14,0.0,,0.0,1.25,,BKN,OVC,M
1P1,2014-01-02 19:35:00,7.7,80.74,5.8,,0.0,0.75,,OVC,M,M
1P1,2014-01-02 19:55:00,7.16,84.13,0.0,,0.0,0.5,,OVC,M,M
1P1,2014-01-02 20:15:00,6.44,81.32,3.5,,0.0,0.5,,OVC,M,M
1P1,2014-01-02 20:35:00,5.9,81.27,4.6,,0.0,0.5,,OVC,M,M
1P1,2014-01-02 20:55:00,5.54,83.31,3.5,,0.0,0.5,,OVC,M,M
1P1,2014-01-02 21:15:00,5.0,81.2,3.5,,0.0,0.75,,OVC,M,M
1P1,2014-01-02 21:35:00,4.64,79.14,5.8,,0.0,1.25,,OVC,M,M
1P1,2014-01-02 21:55:00,3.74,79.05,4.6,,0.0,1.5,,OVC,M,M
1P1,2014-01-02 22:15:00,3.74,79.05,5.8,,0.0,1.5,,OVC,M,M
1P1,2014-01-02 22:35:00,3.02,78.99,4.6,,0.0,1.5,,OVC,M,M
1P1,2014-01-02 22:55:00,2.66,79.63,0.0,,0.0,1.0,,OVC,M,M
1P1,2014-01-02 23:15:00,2.12,81.65,0.0,,0.0,1.25,,OVC,M,M
1P1,2014-01-02 23:35:00,1.94,81.64,0.0,,0.0,1.25,,OVC,M,M
1P1,2014-01-02 23:55:00,1.4,80.9,4.6,,0.0,1.25,,OVC,M,M
1P1,2014-01-03 00:15:00,1.22,81.58,3.5,,0.0,1.25,,OVC,M,M
1P1,2014-01-03 00:35:00,1.22,82.99,3.5,,0.0,1.0,,OVC,M,M
1P1,2014-01-03 00:55:00,0.5,80.82,3.5,,0.0,1.5,,OVC,M,M
1P1,2014-01-03 01:15:00,0.5,80.82,0.0,,0.0,1.25,,OVC,M,M
1P1,2014-01-03 01:35:00,0.14,82.19,3.5,,0.01,1.0,,OVC,M,M
1P1,2014-01-03 01:55:00,-0.22,83.59,3.5,,0.01,1.0,,OVC,M,M
1P1,2014-01-03 02:15:00,-0.4,84.3,0.0,,0.0,0.75,,OVC,M,M
1P1,2014-01-03 02:35:00,-0.4,82.86,0.0,,0.0,0.75,,OVC,M,M
1P1,2014-01-03 02:55:00,-0.76,82.83,0.0,,0.01,1.0,,OVC,M,M
1P1,2014-01-03 03:15:00,-0.76,82.12,0.0,,0.03,1.25,,OVC,M,M
1P1,2014-01-03 03:35:00,-0.76,82.12,0.0,,0.05,1.0,,OVC,M,M
1P1,2014-01-03 03:55:00,-0.76,82.12,0.0,,0.05,1.25,,OVC,M,M
1P1,2014-01-03 04:15:00,-0.76,82.83,0.0,,0.0,1.0,,OVC,M,M
1P1,2014-01-03 04:35:00,-0.76,83.55,0.0,,0.01,1.25,,OVC,M,M
1P1,2014-01-03 04:55:00,-0.76,83.55,0.0,,0.01,1.5,,OVC,M,M
1P1,2014-01-03 05:15:00,-0.94,84.27,0.0,,0.0,1.75,,OVC,M,M
1P1,2014-01-03 05:35:00,-0.76,84.28,0.0,,0.0,2.0,,OVC,M,M
1P1,2014-01-03 05:55:00,-0.58,84.29,0.0,,0.0,1.75,,OVC,M,M
1P1,2014-01-03 06:15:00,-0.58,85.02,0.0,,0.0,2.0,,OVC,M,M
1P1,2014-01-03 06:35:00,-0.58,85.02,0.0,,0.01,2.0,,OVC,M,M
1P1,2014-01-03 06:55:00,-0.4,84.3,0.0,,0.01,1.5,,OVC,M,M
1P1,2014-01-03 07:15:00,-0.4,84.3,0.0,,0.0,1.5,,OVC,M,M
1P1,2014-01-03 07:35:00,-0.4,84.3,0.0,,0.0,1.5,,OVC,M,M
1P1,2014-01-03 07:55:00,-0.4,84.3,0.0,,0.01,1.75,,OVC,M,M
1P1,2014-01-03 08:15:00,-0.4,84.3,0.0,,0.0,2.5,,OVC,M,M
1P1,2014-01-03 08:35:00,-0.22,83.59,0.0,,0.0,3.0,,OVC,M,M
1P1,2014-01-03 08:55:00,-0.04,84.33,0.0,,0.0,2.5,,OVC,M,M
1P1,2014-01-03 09:15:00,-0.04,84.33,0.0,,0.0,2.0,,OVC,M,M
1P1,2014-01-03 09:35:00,0.14,84.34,0.0,,0.0,1.75,,OVC,M,M
1P1,2014-01-03 09:55:00,0.14,84.34,0.0,,0.0,2.5,,OVC,M,M
1P1,2014-01-03 10:15:00,0.14,85.07,0.0,,0.0,2.5,,OVC,M,M
1P1,2014-01-03 10:35:00,1.76,83.03,4.6,,0.0,2.5,,OVC,M,M
1P1,2014-01-03 10:55:00,2.66,79.63,6.9,,0.0,3.0,,OVC,M,M
1P1,2014-01-03 11:15:00,2.66,77.62,9.2,,0.0,2.5,,OVC,M,M
1P1,2014-01-03 11:35:00,2.3,77.58,9.2,,0.0,2.5,,OVC,M,M
1P1,2014-01-03 11:55:00,2.3,75.61,10.4,,0.0,4.0,,BKN,BKN,OVC
1P1,2014-01-03 12:15:00,2.3,74.96,6.9,,0.0,3.0,,BKN,BKN,OVC
1P1,2014-01-03 12:35:00,1.94,74.92,9.2,,0.0,2.5,17.3,BKN,BKN,OVC
1P1,2014-01-03 12:55:00,1.4,74.22,12.7,,0.0,3.0,,SCT,BKN,OVC
1P1,2014-01-03 13:15:00,1.22,73.56,10.4,,0.0,4.0,17.3,SCT,BKN,OVC
1P1,2014-01-03 13:35:00,1.04,73.54,9.2,,0.0,4.0,19.6,BKN,BKN,OVC
1P1,2014-01-03 13:55:00,0.86,71.63,10.4,,0.0,5.0,17.3,SCT,BKN,OVC
1P1,2014-01-03 14:15:00,0.5,70.96,9.2,,0.0,5.0,18.4,SCT,BKN,OVC
1P1,2014-01-03 14:35:00,0.68,67.35,10.4,,0.0,10.0,18.4,SCT,SCT,BKN
1P1,2014-01-03 14:55:00,0.86,66.21,9.2,,0.0,10.0,18.4,SCT,M,M
1P1,2014-01-03 15:15:00,1.22,63.97,12.7,,0.0,10.0,19.6,CLR,M,M
1P1,2014-01-03 15:35:00,1.22,63.97,13.8,,0.0,5.0,19.6,SCT,M,M
1P1,2014-01-03 15:55:00,1.22,63.41,12.7,,0.0,10.0,20.7,SCT,SCT,M
1P1,2014-01-03 16:15:00,1.22,62.85,17.3,,0.0,1.0,25.3,OVC,M,M
1P1,2014-01-03 16:35:00,1.4,61.78,19.6,,0.0,0.75,27.6,OVC,M,M
1P1,2014-01-03 16:55:00,0.5,62.2,18.4,,0.0,4.0,27.6,BKN,M,M
1P1,2014-01-03 17:15:00,1.76,59.69,18.4,,0.0,0.25,26.5,BKN,M,M
1P1,2014-01-03 17:35:00,2.3,59.25,16.1,,0.0,0.25,28.8,BKN,M,M
1P1,2014-01-03 17:55:00,1.94,58.67,16.1,,0.0,0.75,25.3,SCT,BKN,M
1P1,2014-01-03 18:15:00,2.12,56.66,15.0,,0.0,0.75,27.6,BKN,M,M
1P1,2014-01-03 18:35:00,3.02,51.98,15.0,,0.0,0.5,27.6,SCT,M,M
1P1,2014-01-03 18:55:00,3.38,49.78,16.1,,0.0,4.0,23.0,SCT,M,M
1P1,2014-01-03 19:15:00,3.56,46.36,16.1,,0.0,2.0,25.3,CLR,M,M
1P1,2014-01-03 19:35:00,3.56,45.54,18.4,,0.0,0.75,21.9,VV ,M,M
1P1,2014-01-03 19:55:00,3.02,48.4,20.7,,0.0,0.25,26.5,VV ,M,M
1P1,2014-01-03 20:15:00,2.3,52.33,16.1,,0.0,0.5,26.5,VV ,M,M
1P1,2014-01-03 20:35:00,1.4,53.6,18.4,,0.0,5.0,25.3,CLR,M,M
1P1,2014-01-03 20:55:00,1.22,56.01,17.3,,0.0,4.0,27.6,CLR,M,M
1P1,2014-01-03 21:15:00,0.5,57.93,20.7,,0.0,7.0,26.5,CLR,M,M
1P1,2014-01-03 21:35:00,0.32,58.94,13.8,,0.0,7.0,24.2,CLR,M,M
