station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
12N,2014-01-01 00:54:00,24.98,50.02,0.0,1023.9,0.0,,,M,M,M
12N,2014-01-01 01:54:00,24.08,47.49,6.9,1024.8,0.0,,,M,M,M
12N,2014-01-01 02:54:00,21.92,47.52,3.5,1025.3,0.0,,,M,M,M
12N,2014-01-01 03:54:00,21.02,51.86,4.6,1025.8,0.0,,,M,M,M
12N,2014-01-01 04:54:00,19.94,56.56,4.6,1026.1,0.0,,,M,M,M
12N,2014-01-01 05:54:00,19.04,58.78,0.0,1026.5,0.0,,,M,M,M
12N,2014-01-01 06:54:00,19.04,58.78,3.5,1027.1,0.0,,,M,M,M
12N,2014-01-01 07:54:00,19.04,61.72,0.0,1027.7,0.0,,,M,M,M
12N,2014-01-01 08:54:00,15.98,73.34,0.0,1028.0,0.0,,,M,M,M
12N,2014-01-01 09:54:00,15.98,80.13,0.0,1028.3,0.0,,,M,M,M
12N,2014-01-01 10:54:00,15.08,80.05,0.0,1028.8,0.0,,,M,M,M
12N,2014-01-01 11:54:00,14.0,79.96,0.0,1029.2,0.0,,,M,M,M
12N,2014-01-01 12:54:00,14.0,87.36,0.0,1029.6,0.0,,,M,M,M
12N,2014-01-01 13:54:00,17.96,80.29,0.0,1030.0,0.0,,,M,M,M
12N,2014-01-01 14:54:00,23.0,71.24,0.0,1030.5,0.0,,,M,M,M
12N,2014-01-01 15:54:00,26.06,57.04,8.1,1029.8,0.0,,,M,M,M
12N,2014-01-01 16:54:00,28.04,57.79,0.0,1028.9,0.0,,,M,M,M
12N,2014-01-01 17:54:00,28.04,60.1,5.8,1028.4,0.0,,,M,M,M
12N,2014-01-01 18:54:00,28.94,60.69,4.6,1027.9,0.0,,,M,M,M
12N,2014-01-01 19:54:00,30.02,58.08,3.5,1027.4,0.0,,,M,M,M
12N,2014-01-01 20:54:00,30.02,60.38,0.0,1027.5,0.0,,,M,M,M
