station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
0E0,2014-01-01 00:15:00,42.08,31.79,12.7,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 00:35:00,40.46,33.84,9.2,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 00:55:00,39.74,35.36,10.4,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 01:15:00,39.92,35.39,10.4,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 01:35:00,32.9,46.33,5.8,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 01:55:00,37.4,38.75,3.5,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 02:15:00,35.96,40.69,3.5,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 02:35:00,30.92,50.58,4.6,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 02:55:00,30.92,50.98,10.4,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 03:15:00,30.92,50.98,9.2,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 03:35:00,30.2,53.74,8.1,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 03:55:00,27.68,59.11,5.8,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 04:15:00,27.68,59.11,8.1,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 04:35:00,30.2,54.17,8.1,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 04:55:00,27.86,58.67,5.8,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 05:15:00,28.4,56.94,3.5,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 05:35:00,30.02,54.56,4.6,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 05:55:00,28.04,58.7,5.8,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 06:15:00,23.72,68.58,0.0,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 06:35:00,24.44,67.6,0.0,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 06:55:00,23.9,71.34,10.4,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 07:15:00,24.8,68.18,5.8,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 07:35:00,25.7,65.16,3.5,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 07:55:00,25.52,66.17,3.5,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 08:15:00,20.3,74.39,0.0,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 08:35:00,21.74,74.54,0.0,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 08:55:00,19.58,78.55,0.0,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 09:15:00,18.86,80.37,3.5,,0.0,10.0,,CLR,M,M
0E0,2014-01-01 09:35:00,20.84,77.44,0.0,,0.0,10.0,,CLR,M,M
