station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
05U,2014-01-01 00:25:00,37.4,64.7,4.6,,0.0,10.0,,FEW,M,M
05U,2014-01-01 00:45:00,35.6,69.46,3.5,,0.0,10.0,,CLR,M,M
05U,2014-01-01 01:05:00,32.0,74.44,3.5,,0.0,10.0,,CLR,M,M
05U,2014-01-01 01:25:00,32.0,74.44,3.5,,0.0,10.0,,CLR,M,M
05U,2014-01-01 01:45:00,28.4,86.18,4.6,,0.0,10.0,,CLR,M,M
05U,2014-01-01 02:05:00,26.6,86.07,3.5,,0.0,10.0,,CLR,M,M
05U,2014-01-01 02:25:00,26.6,79.77,3.5,,0.0,10.0,,CLR,M,M
05U,2014-01-01 02:45:00,26.6,79.77,3.5,,0.0,10.0,,CLR,M,M
05U,2014-01-01 03:05:00,24.8,79.62,4.6,,0.0,10.0,,CLR,M,M
05U,2014-01-01 03:25:00,24.8,79.62,0.0,,0.0,10.0,,CLR,M,M
05U,2014-01-01 03:45:00,23.0,79.47,4.6,,0.0,10.0,,CLR,M,M
05U,2014-01-01 04:05:00,24.8,73.7,4.6,,0.0,10.0,,CLR,M,M
05U,2014-01-01 04:25:00,23.0,79.47,5.8,,0.0,10.0,,CLR,M,M
05U,2014-01-01 04:45:00,23.0,79.47,6.9,,0.0,10.0,,CLR,M,M
05U,2014-01-01 05:05:00,24.8,73.7,0.0,,0.0,10.0,,CLR,M,M
05U,2014-01-01 05:25:00,23.0,73.51,0.0,,0.0,10.0,,CLR,M,M
05U,2014-01-01 05:45:00,21.2,79.31,0.0,,0.0,10.0,,CLR,M,M
05U,2014-01-01 06:05:00,19.4,85.63,0.0,,0.0,10.0,,CLR,M,M
05U,2014-01-01 06:25:00,17.6,92.5,0.0,,0.0,10.0,,CLR,M,M
05U,2014-01-01 06:40:00,19.4,85.63,3.5,,0.0,10.0,,CLR,M,M
05U,2014-01-01 07:05:00,19.4,85.63,4.6,,0.0,10.0,,CLR,M,M
05U,2014-01-01 07:25:00,19.4,79.16,5.8,,0.0,10.0,,CLR,M,M
05U,2014-01-01 07:45:00,17.6,85.51,3.5,,0.0,10.0,,CLR,M,M
05U,2014-01-01 08:05:00,17.6,85.51,6.9,,0.0,10.0,,CLR,M,M
05U,2014-01-01 08:25:00,17.6,85.51,6.9,,0.0,10.0,,CLR,M,M
05U,2014-01-01 08:45:00,19.4,79.16,4.6,,0.0,10.0,,CLR,M,M
05U,2014-01-01 09:05:00,17.6,85.51,3.5,,0.0,10.0,,CLR,M,M
