station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
ALB,2014-01-01 00:51:00,21.92,56.87,19.6,1021.4,0.0,10.0,25.3,FEW,M,M
ALB,2014-01-01 01:42:00,19.4,73.13,13.8,,0.0,10.0,25.3,SCT,BKN,M
ALB,2014-01-01 01:51:00,19.94,67.58,12.7,1022.2,0.0,10.0,18.4,FEW,SCT,M
ALB,2014-01-01 02:51:00,19.94,47.19,19.6,1022.8,0.0,10.0,29.9,CLR,M,M
ALB,2014-01-01 03:51:00,17.96,46.85,3.5,1023.4,0.0,10.0,,CLR,M,M
ALB,2014-01-01 04:51:00,17.96,48.85,8.1,1023.7,0.0,10.0,,CLR,M,M
ALB,2014-01-01 05:51:00,17.06,50.79,6.9,1023.5,0.0,10.0,,FEW,M,M
ALB,2014-01-01 06:51:00,15.98,55.95,5.8,1024.6,0.0,10.0,,FEW,M,M
ALB,2014-01-01 07:51:00,14.0,61.0,0.0,1025.1,0.0,10.0,,FEW,M,M
ALB,2014-01-01 08:51:00,10.04,72.69,3.5,1025.4,0.0,10.0,,SCT,M,M
ALB,2014-01-01 09:51:00,12.92,73.61,0.0,1025.9,0.0,10.0,,FEW,BKN,M
ALB,2014-01-01 10:51:00,12.92,76.68,0.0,1026.4,0.0,10.0,,SCT,BKN,M
ALB,2014-01-01 11:51:00,12.02,76.59,0.0,1026.8,0.0,10.0,,SCT,BKN,M
ALB,2014-01-01 12:51:00,14.0,76.79,0.0,1027.5,0.0,10.0,,SCT,BKN,M
ALB,2014-01-01 13:51:00,15.98,80.13,0.0,1028.5,0.0,10.0,,SCT,BKN,M
ALB,2014-01-01 14:51:00,19.04,61.72,0.0,1029.0,0.0,10.0,,FEW,SCT,M
ALB,2014-01-01 15:51:00,21.02,56.73,6.9,1029.2,0.0,10.0,,SCT,BKN,M
ALB,2014-01-01 16:51:00,21.92,62.13,6.9,1028.5,0.0,10.0,,BKN,BKN,M
ALB,2014-01-01 17:51:00,23.0,54.34,11.5,1028.3,0.0,10.0,,SCT,BKN,BKN
