station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
4I3,2014-01-01 00:19:00,21.2,79.31,3.5,,0.0,10.0,,CLR,M,M
4I3,2014-01-01 00:38:00,23.0,73.51,0.0,,0.0,10.0,,BKN,M,M
4I3,2014-01-01 00:58:00,21.2,85.74,3.5,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 01:18:00,23.0,79.47,3.5,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 01:39:00,23.0,85.85,3.5,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 01:58:00,24.8,73.7,3.5,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 02:18:00,24.8,73.7,0.0,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 02:39:00,23.0,79.47,0.0,,0.0,10.0,,BKN,M,M
4I3,2014-01-01 02:58:00,23.0,79.47,0.0,,0.0,10.0,,BKN,M,M
4I3,2014-01-01 03:18:00,23.0,85.85,0.0,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 03:38:00,23.0,85.85,0.0,,0.0,10.0,,BKN,M,M
4I3,2014-01-01 03:58:00,23.0,85.85,0.0,,0.0,10.0,,BKN,M,M
4I3,2014-01-01 04:17:00,23.0,85.85,0.0,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 04:38:00,23.0,85.85,0.0,,0.0,10.0,,SCT,SCT,M
4I3,2014-01-01 04:58:00,23.0,85.85,0.0,,0.0,10.0,,BKN,M,M
4I3,2014-01-01 05:17:00,23.0,85.85,0.0,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 05:38:00,23.0,85.85,0.0,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 05:58:00,24.8,85.96,0.0,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 06:18:00,24.8,85.96,0.0,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 06:38:00,24.8,85.96,0.0,,0.0,10.0,,OVC,M,M
4I3,2014-01-01 06:58:00,23.0,92.69,0.0,,0.0,10.0,,BKN,BKN,M
4I3,2014-01-01 07:18:00,24.8,79.62,3.5,,0.0,10.0,,BKN,BKN,M
4I3,2014-01-01 07:38:00,23.0,85.85,3.5,,0.0,10.0,,SCT,SCT,M
4I3,2014-01-01 07:58:00,23.0,92.69,0.0,,0.0,10.0,,SCT,M,M
4I3,2014-01-01 08:18:00,23.0,92.69,0.0,,0.0,10.0,,BKN,M,M
4I3,2014-01-01 08:38:00,23.0,92.69,3.5,,0.0,10.0,,SCT,BKN,M
4I3,2014-01-01 08:58:00,23.0,92.69,4.6,,0.0,10.0,,SCT,OVC,M
