station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
AST,2014-01-01 00:02:00,46.04,92.75,0.0,,0.0,2.0,,SCT,OVC,M
AST,2014-01-01 00:17:00,46.04,92.75,0.0,,0.0,4.0,,FEW,OVC,M
AST,2014-01-01 00:42:00,46.04,88.99,0.0,,0.0,3.0,,OVC,M,M
AST,2014-01-01 00:55:00,44.96,92.72,0.0,1026.0,0.0,2.0,,OVC,M,M
AST,2014-01-01 01:17:00,44.96,92.72,4.6,,0.0,4.0,,OVC,M,M
AST,2014-01-01 01:37:00,44.06,92.69,4.6,,0.0,2.0,,OVC,M,M
AST,2014-01-01 01:55:00,44.96,92.72,3.5,1026.4,0.0,1.75,,OVC,M,M
AST,2014-01-01 02:44:00,44.96,96.63,0.0,,0.0,2.0,,OVC,M,M
AST,2014-01-01 02:55:00,46.04,92.75,0.0,1026.7,0.0,4.0,,OVC,M,M
AST,2014-01-01 03:15:00,44.96,92.72,0.0,,0.0,2.5,,OVC,M,M
AST,2014-01-01 03:50:00,44.6,100.0,0.0,,0.0,2.0,,BKN,OVC,M
AST,2014-01-01 03:55:00,44.96,96.63,0.0,1026.9,0.0,2.0,,OVC,M,M
AST,2014-01-01 04:02:00,44.96,92.72,4.6,,0.0,1.75,,OVC,M,M
AST,2014-01-01 04:32:00,44.96,96.63,0.0,,0.0,3.0,,BKN,OVC,M
AST,2014-01-01 04:55:00,44.96,92.72,0.0,1027.1,0.0,4.0,,OVC,M,M
AST,2014-01-01 05:33:00,44.96,92.72,3.5,,0.0,6.0,,SCT,BKN,OVC
AST,2014-01-01 05:55:00,44.96,89.56,4.6,1027.3,0.0,6.0,,FEW,OVC,M
AST,2014-01-01 06:07:00,44.96,92.72,0.0,,0.0,5.0,,FEW,OVC,M
AST,2014-01-01 06:33:00,44.06,92.69,0.0,,0.0,2.5,,OVC,M,M
AST,2014-01-01 06:46:00,44.06,92.69,0.0,,0.0,3.0,,OVC,M,M
AST,2014-01-01 06:55:00,44.06,92.69,3.5,1027.8,0.0,4.0,,OVC,M,M
AST,2014-01-01 07:55:00,44.96,92.72,3.5,1027.6,0.0,5.0,,OVC,M,M
AST,2014-01-01 08:55:00,44.06,92.69,3.5,1027.2,0.0,6.0,,OVC,M,M
AST,2014-01-01 09:19:00,42.98,92.65,4.6,,0.0,5.0,,SCT,M,M
AST,2014-01-01 09:28:00,42.98,92.65,5.8,,0.0,3.0,,SCT,M,M
AST,2014-01-01 09:30:00,42.98,92.65,5.8,,0.0,1.75,,SCT,M,M
AST,2014-01-01 09:32:00,42.98,92.65,4.6,,0.0,1.25,,BKN,M,M
AST,2014-01-01 09:40:00,42.98,92.65,3.5,,0.0,0.5,,VV ,M,M
AST,2014-01-01 09:47:00,42.98,92.65,3.5,,0.0,0.25,,VV ,M,M
AST,2014-01-01 09:55:00,42.08,95.92,3.5,1027.4,0.0,0.25,,VV ,M,M
AST,2014-01-01 10:28:00,42.08,91.98,3.5,,0.0,0.75,,OVC,M,M
AST,2014-01-01 10:32:00,42.08,91.98,5.8,,0.0,1.5,,OVC,M,M
AST,2014-01-01 10:55:00,42.08,91.98,4.6,1027.7,0.0,3.0,,BKN,M,M
AST,2014-01-01 11:03:00,41.0,95.9,3.5,,0.0,1.5,,OVC,M,M
AST,2014-01-01 11:09:00,41.0,95.9,4.6,,0.0,0.75,,OVC,M,M
AST,2014-01-01 11:28:00,41.0,92.59,5.8,,0.0,1.5,,BKN,M,M
AST,2014-01-01 11:33:00,41.0,92.59,6.9,,0.0,2.5,,SCT,M,M
AST,2014-01-01 11:36:00,39.92,96.55,6.9,,0.0,1.25,,SCT,M,M
AST,2014-01-01 11:39:00,39.02,95.86,8.1,,0.0,0.75,,VV ,M,M
AST,2014-01-01 11:55:00,39.02,95.86,6.9,1027.4,0.0,0.25,,VV ,M,M
AST,2014-01-01 12:10:00,37.94,96.52,5.8,,0.0,0.75,,VV ,M,M
AST,2014-01-01 12:14:00,37.94,96.52,5.8,,0.0,1.25,,SCT,M,M
AST,2014-01-01 12:30:00,37.94,92.49,5.8,,0.0,2.0,,CLR,M,M
AST,2014-01-01 12:35:00,37.94,96.52,4.6,,0.0,1.25,,CLR,M,M
AST,2014-01-01 12:48:00,37.94,92.49,0.0,,0.0,0.75,,VV ,M,M
AST,2014-01-01 12:55:00,37.94,89.25,0.0,1027.6,0.0,0.75,,VV ,M,M
AST,2014-01-01 13:07:00,37.94,89.25,4.6,,0.0,1.0,,VV ,M,M
AST,2014-01-01 13:26:00,35.96,92.43,6.9,,0.0,0.5,,VV ,M,M
AST,2014-01-01 13:35:00,37.04,92.46,4.6,,0.0,1.0,,CLR,M,M
AST,2014-01-01 13:39:00,37.94,92.49,3.5,,0.0,2.5,,CLR,M,M
AST,2014-01-01 13:46:00,37.94,96.52,0.0,,0.0,6.0,,CLR,M,M
AST,2014-01-01 13:55:00,37.04,100.0,0.0,1027.3,0.0,1.5,,FEW,M,M
AST,2014-01-01 13:58:00,35.96,100.0,4.6,,0.0,1.0,,VV ,M,M
AST,2014-01-01 14:05:00,35.96,92.43,0.0,,0.0,1.5,,FEW,M,M
AST,2014-01-01 14:19:00,37.04,92.46,0.0,,0.0,1.5,,BKN,M,M
AST,2014-01-01 14:23:00,37.04,92.46,0.0,,0.0,3.0,,BKN,M,M
AST,2014-01-01 14:29:00,37.04,92.46,0.0,,0.0,1.5,,BKN,M,M
AST,2014-01-01 14:32:00,37.04,92.46,3.5,,0.0,0.75,,VV ,M,M
AST,2014-01-01 14:44:00,37.94,92.49,6.9,,0.0,1.25,,SCT,M,M
AST,2014-01-01 14:55:00,35.96,92.43,6.9,1027.1,0.0,1.0,,VV ,M,M
AST,2014-01-01 15:02:00,35.06,95.79,8.1,,0.0,0.5,,VV ,M,M
AST,2014-01-01 15:18:00,37.04,92.46,5.8,,0.0,1.25,,SCT,M,M
AST,2014-01-01 15:31:00,37.94,92.49,3.5,,0.0,0.75,,VV ,M,M
AST,2014-01-01 15:49:00,35.6,100.0,6.9,,0.0,1.25,,FEW,M,M
AST,2014-01-01 15:52:00,37.4,93.14,6.9,,0.0,2.5,,FEW,M,M
AST,2014-01-01 15:55:00,37.04,92.46,5.8,1026.8,0.0,4.0,,CLR,M,M
AST,2014-01-01 16:10:00,37.04,92.46,4.6,,0.0,1.5,,CLR,M,M
AST,2014-01-01 16:12:00,37.04,95.82,4.6,,0.0,0.75,,CLR,M,M
AST,2014-01-01 16:30:00,37.04,95.82,0.0,,0.0,0.5,,VV ,M,M
