station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
ABE,2014-01-01 00:51:00,26.06,47.82,15.0,1024.4,0.0,10.0,21.9,CLR,M,M
ABE,2014-01-01 01:51:00,24.08,51.93,8.1,1025.2,0.0,10.0,,CLR,M,M
ABE,2014-01-01 02:51:00,24.08,49.87,6.9,1025.7,0.0,10.0,,CLR,M,M
ABE,2014-01-01 03:51:00,23.0,52.18,9.2,1026.2,0.0,10.0,,CLR,M,M
ABE,2014-01-01 04:51:00,23.0,52.18,4.6,1026.4,0.0,10.0,,BKN,M,M
ABE,2014-01-01 05:51:00,21.92,56.87,0.0,1026.5,0.0,10.0,,OVC,M,M
ABE,2014-01-01 06:51:00,21.02,62.0,0.0,1026.9,0.0,10.0,,OVC,M,M
ABE,2014-01-01 07:51:00,21.92,71.12,4.6,1027.6,0.0,10.0,,OVC,M,M
ABE,2014-01-01 08:51:00,24.08,61.94,5.8,1027.8,0.0,10.0,,OVC,M,M
ABE,2014-01-01 09:51:00,23.0,64.81,4.6,1027.8,0.0,10.0,,BKN,OVC,M
ABE,2014-01-01 10:51:00,24.98,62.55,5.8,1028.5,0.0,10.0,,OVC,M,M
ABE,2014-01-01 11:51:00,24.98,65.58,0.0,1028.7,0.0,10.0,,OVC,M,M
ABE,2014-01-01 12:51:00,24.98,62.55,0.0,1028.8,0.0,10.0,,BKN,M,M
ABE,2014-01-01 13:51:00,26.96,60.41,5.8,1029.1,0.0,10.0,,CLR,M,M
ABE,2014-01-01 14:51:00,28.04,60.1,3.5,1029.5,0.0,10.0,,CLR,M,M
ABE,2014-01-01 15:51:00,28.94,60.69,4.6,1029.6,0.0,10.0,,CLR,M,M
ABE,2014-01-01 16:51:00,30.02,55.42,3.5,1028.6,0.0,10.0,,CLR,M,M
ABE,2014-01-01 17:51:00,30.92,53.44,3.5,1027.8,0.0,10.0,,CLR,M,M
ABE,2014-01-01 18:51:00,30.92,53.44,0.0,1027.0,0.0,10.0,,CLR,M,M
ABE,2014-01-01 19:51:00,32.0,51.15,0.0,1026.7,0.0,10.0,,SCT,M,M
ABE,2014-01-01 20:51:00,32.0,53.6,3.5,1026.5,0.0,10.0,,OVC,M,M
ABE,2014-01-01 21:51:00,28.94,66.09,4.6,1026.2,0.0,10.0,,FEW,M,M
ABE,2014-01-01 22:51:00,28.94,66.09,4.6,1026.1,0.0,10.0,,OVC,M,M
ABE,2014-01-01 23:51:00,30.02,60.38,5.8,1026.2,0.0,10.0,,OVC,M,M
ABE,2014-01-02 00:51:00,28.94,66.09,4.6,1026.0,0.0,10.0,,BKN,M,M
