station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
BID,2014-01-01 00:15:00,32.0,59.27,13.8,,0.0,10.0,23.0,FEW,FEW,M
BID,2014-01-01 00:35:00,32.0,54.87,16.1,,0.0,10.0,26.5,SCT,M,M
BID,2014-01-01 00:55:00,32.0,50.75,17.3,,0.0,10.0,27.6,BKN,M,M
BID,2014-01-01 01:15:00,32.0,50.75,13.8,,0.0,10.0,19.6,BKN,M,M
BID,2014-01-01 01:35:00,32.0,50.75,16.1,,0.0,10.0,24.2,BKN,BKN,M
BID,2014-01-01 01:55:00,32.0,46.92,17.3,,0.0,10.0,25.3,BKN,BKN,M
BID,2014-01-01 02:15:00,30.2,50.47,12.7,,0.0,10.0,20.7,SCT,SCT,M
BID,2014-01-01 02:35:00,30.2,54.59,15.0,,0.0,10.0,23.0,SCT,SCT,M
BID,2014-01-01 02:55:00,30.2,54.59,12.7,,0.0,10.0,23.0,FEW,SCT,M
BID,2014-01-01 03:15:00,30.2,50.47,12.7,,0.0,10.0,21.9,SCT,SCT,M
BID,2014-01-01 03:35:00,30.2,50.47,11.5,,0.0,10.0,20.7,BKN,BKN,M
BID,2014-01-01 03:55:00,30.2,50.47,11.5,,0.0,10.0,20.7,SCT,BKN,OVC
BID,2014-01-01 04:15:00,30.2,46.62,12.7,,0.0,10.0,26.5,OVC,M,M
BID,2014-01-01 04:35:00,30.2,46.62,15.0,,0.0,10.0,23.0,OVC,M,M
BID,2014-01-01 04:55:00,28.4,50.17,12.7,,0.0,10.0,23.0,OVC,M,M
BID,2014-01-01 05:15:00,28.4,50.17,13.8,,0.0,10.0,21.9,BKN,OVC,M
BID,2014-01-01 05:35:00,28.4,46.32,10.4,,0.0,10.0,20.7,BKN,M,M
BID,2014-01-01 05:55:00,28.4,46.32,10.4,,0.0,10.0,20.7,OVC,M,M
BID,2014-01-01 06:15:00,28.4,46.32,11.5,,0.0,10.0,19.6,OVC,M,M
BID,2014-01-01 06:35:00,26.6,63.27,8.1,,0.0,10.0,16.1,FEW,BKN,OVC
BID,2014-01-01 06:55:00,26.6,54.03,11.5,,0.0,10.0,19.6,FEW,BKN,BKN
BID,2014-01-01 07:15:00,26.6,54.03,12.7,,0.0,10.0,19.6,SCT,M,M
BID,2014-01-01 07:35:00,26.6,54.03,10.4,,0.0,10.0,18.4,SCT,M,M
BID,2014-01-01 07:55:00,26.6,49.88,8.1,,0.0,10.0,17.3,FEW,M,M
BID,2014-01-01 08:15:00,24.8,53.75,6.9,,0.0,10.0,,SCT,M,M
BID,2014-01-01 08:35:00,24.8,49.59,6.9,,0.0,10.0,,BKN,M,M
BID,2014-01-01 08:55:00,24.8,49.59,5.8,,0.0,10.0,,BKN,M,M
BID,2014-01-01 09:15:00,24.8,53.75,8.1,,0.0,10.0,,BKN,OVC,M
BID,2014-01-01 09:35:00,26.6,49.88,11.5,,0.0,10.0,17.3,BKN,OVC,M
BID,2014-01-01 09:55:00,26.6,49.88,10.4,,0.0,10.0,,OVC,M,M
BID,2014-01-01 10:15:00,26.6,46.02,11.5,,0.0,10.0,18.4,BKN,M,M
BID,2014-01-01 10:35:00,24.8,49.59,6.9,,0.0,10.0,,FEW,M,M
BID,2014-01-01 10:55:00,24.8,49.59,8.1,,0.0,10.0,17.3,SCT,M,M
BID,2014-01-01 11:15:00,24.8,49.59,9.2,,0.0,10.0,17.3,SCT,M,M
BID,2014-01-01 11:35:00,26.6,49.88,10.4,,0.0,10.0,,FEW,M,M
BID,2014-01-01 11:55:00,26.6,49.88,12.7,,0.0,10.0,,CLR,M,M
BID,2014-01-01 12:15:00,26.6,49.88,11.5,,0.0,10.0,,CLR,M,M
BID,2014-01-01 12:35:00,26.6,42.42,10.4,,0.0,10.0,,FEW,M,M
BID,2014-01-01 12:55:00,26.6,42.42,9.2,,0.0,10.0,16.1,FEW,M,M
BID,2014-01-01 13:15:00,26.6,46.02,10.4,,0.0,10.0,18.4,SCT,M,M
BID,2014-01-01 13:35:00,28.4,39.39,9.2,,0.0,10.0,21.9,FEW,M,M
BID,2014-01-01 13:55:00,28.4,39.39,11.5,,0.0,10.0,16.1,FEW,M,M
BID,2014-01-01 14:15:00,28.4,46.32,11.5,,0.0,10.0,19.6,SCT,M,M
BID,2014-01-01 14:35:00,28.4,46.32,10.4,,0.0,10.0,,BKN,BKN,M
BID,2014-01-01 14:55:00,28.4,50.17,11.5,,0.0,10.0,,SCT,BKN,M
BID,2014-01-01 15:15:00,28.4,50.17,13.8,,0.0,10.0,18.4,FEW,BKN,OVC
BID,2014-01-01 15:35:00,28.4,46.32,13.8,,0.0,10.0,18.4,BKN,BKN,M
BID,2014-01-01 15:55:00,30.2,43.04,10.4,,0.0,10.0,20.7,BKN,M,M
BID,2014-01-01 16:15:00,30.2,43.04,13.8,,0.0,10.0,19.6,BKN,M,M
BID,2014-01-01 16:35:00,30.2,46.62,13.8,,0.0,10.0,21.9,BKN,M,M
BID,2014-01-01 16:55:00,30.2,46.62,12.7,,0.0,10.0,24.2,SCT,M,M
BID,2014-01-01 17:15:00,30.2,43.04,12.7,,0.0,10.0,23.0,FEW,M,M
BID,2014-01-01 17:35:00,30.2,46.62,11.5,,0.0,10.0,18.4,CLR,M,M
BID,2014-01-01 17:55:00,30.2,46.62,11.5,,0.0,10.0,20.7,CLR,M,M
BID,2014-01-01 18:15:00,30.2,46.62,16.1,,0.0,10.0,21.9,CLR,M,M
BID,2014-01-01 18:35:00,30.2,43.04,12.7,,0.0,10.0,23.0,CLR,M,M
BID,2014-01-01 18:55:00,30.2,46.62,13.8,,0.0,10.0,24.2,CLR,M,M
BID,2014-01-01 19:15:00,30.2,46.62,15.0,,0.0,10.0,21.9,CLR,M,M
