station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
2WX,2014-01-01 00:56:00,6.98,83.42,16.1,1018.5,0.01,,,M,M,M
2WX,2014-01-01 01:56:00,6.98,79.35,11.5,1019.2,0.0,,,M,M,M
2WX,2014-01-01 02:56:00,6.98,79.35,11.5,1020.1,0.0,,,M,M,M
2WX,2014-01-01 03:56:00,6.98,79.35,9.2,1020.3,0.0,,,M,M,M
2WX,2014-01-01 04:56:00,6.08,82.66,11.5,1020.2,0.0,,,M,M,M
2WX,2014-01-01 05:56:00,6.08,82.66,8.1,1021.0,0.0,,,M,M,M
2WX,2014-01-01 06:56:00,6.98,86.95,4.6,1021.1,0.0,,,M,M,M
2WX,2014-01-01 07:56:00,8.06,87.02,5.8,1020.7,0.0,,,M,M,M
2WX,2014-01-01 08:56:00,8.96,91.45,0.0,1021.4,0.0,,,M,M,M
2WX,2014-01-01 09:56:00,10.04,87.13,0.0,1022.0,0.0,,,M,M,M
2WX,2014-01-01 10:56:00,10.04,87.13,0.0,1022.7,0.0,,,M,M,M
2WX,2014-01-01 11:56:00,12.02,83.78,0.0,1022.9,0.0,,,M,M,M
2WX,2014-01-01 12:56:00,14.0,83.92,8.1,1023.3,0.0,,,M,M,M
2WX,2014-01-01 13:56:00,15.08,80.05,3.5,1023.8,0.0,,,M,M,M
2WX,2014-01-01 14:56:00,17.96,80.29,15.0,1024.6,0.0,,,M,M,M
2WX,2014-01-01 15:56:00,17.96,84.2,19.6,1025.8,0.0,,,M,M,M
2WX,2014-01-01 16:56:00,17.96,80.29,21.9,1026.9,0.0,,29.9,M,M,M
2WX,2014-01-01 17:56:00,15.98,80.13,16.1,1027.4,0.0,,,M,M,M
2WX,2014-01-01 18:56:00,12.92,76.68,16.1,1027.7,0.0,,,M,M,M
2WX,2014-01-01 19:56:00,14.0,76.79,17.3,1027.2,0.0,,,M,M,M
2WX,2014-01-01 20:56:00,15.98,73.34,18.4,1027.2,0.0,,,M,M,M
2WX,2014-01-01 21:56:00,17.96,80.29,19.6,1027.1,0.0,,,M,M,M
2WX,2014-01-01 22:56:00,19.04,80.38,23.0,1026.2,0.0,,,M,M,M
2WX,2014-01-01 23:56:00,19.04,87.64,16.1,1027.2,0.0,,,M,M,M
2WX,2014-01-02 00:56:00,19.94,88.37,9.2,1026.8,0.0,,,M,M,M
2WX,2014-01-02 01:56:00,21.02,87.75,9.2,1026.2,0.0,,,M,M,M
2WX,2014-01-02 02:56:00,21.02,87.75,5.8,1025.5,0.0,,,M,M,M
2WX,2014-01-02 03:56:00,21.92,88.47,10.4,1024.6,0.0,,,M,M,M
2WX,2014-01-02 04:56:00,23.0,84.54,12.7,1023.7,0.0,,,M,M,M
2WX,2014-01-02 05:56:00,24.08,83.96,10.4,1023.7,0.0,,,M,M,M
2WX,2014-01-02 06:56:00,24.08,87.91,9.2,1023.3,0.0,,,M,M,M
2WX,2014-01-02 07:56:00,12.92,88.0,13.8,1024.3,0.0,,,M,M,M
2WX,2014-01-02 08:56:00,10.94,83.71,13.8,1024.8,0.0,,,M,M,M
2WX,2014-01-02 09:56:00,10.94,87.9,8.1,1024.9,0.0,,,M,M,M
2WX,2014-01-02 10:56:00,12.92,80.52,0.0,1025.0,0.0,,,M,M,M
2WX,2014-01-02 11:56:00,12.92,83.85,0.0,1025.1,0.0,,,M,M,M
2WX,2014-01-02 12:56:00,12.92,83.85,6.9,1025.0,0.0,,,M,M,M
2WX,2014-01-02 13:56:00,12.02,87.25,6.9,1024.9,0.0,,,M,M,M
2WX,2014-01-02 14:56:00,14.0,91.65,8.1,1024.4,0.0,,,M,M,M
2WX,2014-01-02 15:56:00,15.08,87.42,10.4,1024.3,0.0,,,M,M,M
2WX,2014-01-02 16:56:00,15.08,87.42,11.5,1023.8,0.0,,,M,M,M
2WX,2014-01-02 17:56:00,15.08,90.96,15.0,1022.7,0.0,,,M,M,M
2WX,2014-01-02 18:56:00,17.06,91.76,15.0,1021.2,0.0,,,M,M,M
2WX,2014-01-02 19:56:00,19.04,87.64,16.1,1020.6,0.0,,,M,M,M
2WX,2014-01-02 20:56:00,19.94,88.37,13.8,1019.8,0.0,,,M,M,M
2WX,2014-01-02 21:56:00,19.94,84.33,13.8,1019.3,0.0,,,M,M,M
2WX,2014-01-02 22:56:00,17.06,87.53,13.8,1018.5,0.0,,,M,M,M
2WX,2014-01-02 23:56:00,15.08,87.42,9.2,1017.8,0.0,,,M,M,M
2WX,2014-01-03 00:56:00,15.98,87.47,13.8,1016.6,0.0,,,M,M,M
