station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
0A9,2014-01-01 00:15:00,26.6,79.77,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 00:35:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 00:55:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 01:15:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 01:35:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 01:55:00,23.0,92.69,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 02:15:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 02:35:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 02:55:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 03:15:00,24.8,85.96,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 03:35:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 03:55:00,26.6,79.77,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 04:15:00,26.6,79.77,8.1,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 04:35:00,26.6,79.77,8.1,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 04:55:00,26.6,79.77,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 05:15:00,26.6,79.77,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 05:35:00,26.6,79.77,6.9,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 05:55:00,26.6,79.77,6.9,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 06:15:00,26.6,79.77,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 06:35:00,26.6,79.77,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 06:55:00,26.6,79.77,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 07:15:00,26.6,79.77,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 07:35:00,26.6,79.77,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 07:55:00,26.6,79.77,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 08:15:00,26.6,79.77,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 08:35:00,26.6,79.77,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 08:55:00,24.8,79.62,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 09:15:00,23.0,85.85,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 09:35:00,21.2,92.63,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 09:55:00,24.8,85.96,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 10:15:00,24.8,85.96,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 10:35:00,24.8,85.96,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 10:55:00,24.8,85.96,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 11:15:00,24.8,85.96,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 11:35:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 11:55:00,21.2,92.63,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 12:15:00,23.0,85.85,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 12:35:00,23.0,85.85,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 12:55:00,21.2,85.74,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 13:15:00,21.2,92.63,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 13:35:00,21.2,92.63,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 13:55:00,24.8,85.96,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 14:15:00,26.6,79.77,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 14:35:00,28.4,74.08,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 14:55:00,30.2,74.26,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 15:15:00,32.0,69.04,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 15:35:00,33.8,69.25,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 15:55:00,35.6,59.79,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 16:15:00,37.4,60.04,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 16:35:00,37.4,60.04,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 16:55:00,39.2,55.95,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 17:15:00,41.0,52.17,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 17:35:00,42.8,48.67,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 17:55:00,44.6,42.14,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 18:15:00,46.4,33.79,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 18:35:00,48.2,34.09,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 18:55:00,50.0,29.52,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 19:15:00,51.8,25.56,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 19:35:00,51.8,27.62,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 19:55:00,51.8,27.62,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 20:15:00,51.8,27.62,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 20:35:00,50.0,37.08,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 20:55:00,50.0,37.08,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 21:15:00,48.2,39.66,6.9,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 21:35:00,46.4,42.44,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 21:55:00,44.6,48.96,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 22:15:00,41.0,56.22,3.5,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 22:35:00,35.6,69.46,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 22:55:00,33.8,80.36,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 23:15:00,32.0,80.22,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 23:35:00,30.2,86.28,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-01 23:55:00,32.0,80.22,0.0,,0.0,10.0,,CLR,M,M
0A9,2014-01-02 00:15:00,30.2,86.28,4.6,,0.0,10.0,,CLR,M,M
0A9,2014-01-02 00:35:00,30.2,86.28,5.8,,0.0,10.0,,CLR,M,M
0A9,2014-01-02 00:55:00,30.2,80.07,0.0,,0.0,10.0,,CLR,M,M
