station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
1YT,2014-01-01 00:56:00,37.22,81.81,5.8,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 01:56:00,34.88,81.04,3.5,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 02:56:00,39.2,72.47,1.2,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 03:56:00,32.0,97.84,0.0,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 04:56:00,36.32,75.98,4.6,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 05:56:00,37.04,80.04,8.1,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 06:56:00,37.4,76.09,10.4,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 07:56:00,27.68,96.36,2.3,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 08:56:00,29.3,90.17,2.3,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 09:56:00,26.6,93.5,0.0,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 10:56:00,25.34,100.75,1.2,,0.0,12.0,,FEW,M,M
1YT,2014-01-01 11:56:00,27.86,90.79,2.3,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 12:56:00,24.98,94.16,2.3,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 13:56:00,24.44,97.03,2.3,,0.0,12.0,,FEW,M,M
1YT,2014-01-01 14:56:00,26.6,92.11,3.5,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 15:56:00,21.38,94.07,3.5,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 16:56:00,26.96,92.81,2.3,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 17:56:00,27.32,94.93,3.5,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 18:56:00,32.72,84.54,0.0,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 19:56:00,36.68,76.02,1.2,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 20:56:00,39.02,68.84,3.5,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 21:56:00,40.64,66.07,2.3,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 22:56:00,40.64,65.59,4.6,,0.0,12.0,,CLR,M,M
1YT,2014-01-01 23:56:00,38.48,73.46,3.5,,0.0,12.0,,CLR,M,M
1YT,2014-01-02 00:56:00,31.28,86.34,2.3,,0.0,10.0,,FEW,M,M
1YT,2014-01-02 01:56:00,29.48,87.54,1.2,,0.0,12.0,,BKN,M,M
1YT,2014-01-02 02:56:00,30.74,90.9,3.5,,0.0,10.0,,BKN,BKN,M
1YT,2014-01-02 03:56:00,29.66,93.59,3.5,,0.0,8.0,,OVC,M,M
1YT,2014-01-02 04:56:00,30.2,91.55,4.6,,0.0,8.0,,BKN,BKN,M
1YT,2014-01-02 05:56:00,28.4,96.37,3.5,,0.0,6.0,,BKN,BKN,BKN
1YT,2014-01-02 06:02:00,28.4,92.86,2.3,,0.0,5.0,,FEW,BKN,BKN
1YT,2014-01-02 06:56:00,27.68,94.23,3.5,,0.0,7.0,,FEW,FEW,BKN
1YT,2014-01-02 07:56:00,27.32,94.22,3.5,,0.0,5.0,,BKN,M,M
1YT,2014-01-02 08:07:00,26.6,100.0,3.5,,0.0,3.0,,FEW,BKN,M
1YT,2014-01-02 08:27:00,26.6,100.0,1.2,,0.0,0.62,,BKN,BKN,M
1YT,2014-01-02 08:32:00,26.6,92.8,1.2,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 08:37:00,24.8,100.0,1.2,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 08:42:00,26.6,92.8,1.2,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 08:56:00,25.34,96.32,3.5,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 09:26:00,26.6,92.8,1.2,,0.0,1.88,,BKN,BKN,M
1YT,2014-01-02 09:31:00,26.6,92.8,0.0,,0.0,2.75,,SCT,BKN,M
1YT,2014-01-02 09:36:00,26.6,92.8,1.2,,0.0,3.0,,FEW,BKN,M
1YT,2014-01-02 09:56:00,27.14,97.07,2.3,,0.0,6.0,,BKN,M,M
1YT,2014-01-02 10:21:00,26.6,92.8,4.6,,0.0,1.88,,SCT,M,M
1YT,2014-01-02 10:22:00,26.6,92.8,4.6,,0.0,1.12,,FEW,BKN,M
1YT,2014-01-02 10:27:00,24.8,100.0,5.8,,0.0,0.5,,FEW,BKN,M
1YT,2014-01-02 10:32:00,24.8,100.0,4.6,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 10:37:00,24.8,100.0,4.6,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 10:47:00,24.8,100.0,3.5,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 10:56:00,25.52,97.78,1.2,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 11:56:00,26.24,96.34,2.3,,0.0,0.75,,VV ,M,M
1YT,2014-01-02 12:06:00,26.6,92.8,4.6,,0.0,0.5,,VV ,M,M
1YT,2014-01-02 12:56:00,26.24,97.06,3.5,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 13:01:00,26.6,92.8,2.3,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 13:46:00,26.6,92.8,3.5,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 13:56:00,26.42,96.34,0.0,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 14:56:00,26.6,96.34,1.2,,0.0,0.5,,VV ,M,M
1YT,2014-01-02 15:21:00,26.6,92.8,0.0,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 15:31:00,26.6,100.0,3.5,,0.0,0.38,,VV ,M,M
1YT,2014-01-02 15:41:00,26.6,100.0,2.3,,0.0,0.31,,VV ,M,M
1YT,2014-01-02 15:56:00,26.78,97.79,2.3,,0.0,0.25,,VV ,M,M
1YT,2014-01-02 16:01:00,26.6,100.0,1.2,,0.0,0.19,,VV ,M,M
1YT,2014-01-02 16:06:00,26.6,100.0,0.0,,0.0,0.25,,VV ,M,M
1YT,2014-01-02 16:26:00,26.6,100.0,2.3,,0.0,0.5,,OVC,M,M
1YT,2014-01-02 16:41:00,26.6,100.0,1.2,,0.0,1.0,,OVC,M,M
1YT,2014-01-02 16:46:00,26.6,100.0,2.3,,0.0,1.62,,OVC,M,M
1YT,2014-01-02 16:56:00,27.14,97.07,1.2,,0.0,2.25,,OVC,M,M
1YT,2014-01-02 17:11:00,26.6,100.0,2.3,,0.0,2.75,,OVC,M,M
1YT,2014-01-02 17:21:00,28.4,92.86,3.5,,0.0,1.88,,OVC,M,M
1YT,2014-01-02 17:26:00,28.4,92.86,1.2,,0.0,1.62,,OVC,M,M
