station,date,tmpf,relh,sped,mslp,p01i,vsby,gust_mph,skyc1,skyc2,skyc3
3I2,2014-01-01 00:15:00,32.0,69.04,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 00:35:00,32.0,69.04,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 00:55:00,32.0,69.04,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 01:15:00,32.0,69.04,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 01:35:00,32.0,74.44,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 01:55:00,30.2,80.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 02:15:00,30.2,80.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 02:35:00,30.2,74.26,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 02:55:00,30.2,74.26,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 03:15:00,30.2,74.26,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 03:35:00,32.0,63.99,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 03:55:00,28.4,79.92,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 04:15:00,28.4,79.92,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 04:35:00,28.4,79.92,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 04:55:00,28.4,79.92,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 05:15:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 05:35:00,28.4,79.92,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 05:55:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 06:15:00,26.6,79.77,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 06:35:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 06:55:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 07:15:00,26.6,79.77,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 07:35:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 07:55:00,26.6,86.07,0.0,,0.0,10.0,,SCT,M,M
3I2,2014-01-01 08:15:00,26.6,86.07,0.0,,0.0,10.0,,SCT,M,M
3I2,2014-01-01 08:35:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 08:55:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 09:15:00,28.4,79.92,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 09:35:00,28.4,79.92,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 09:55:00,28.4,86.18,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 10:15:00,28.4,86.18,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 10:35:00,28.4,86.18,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 10:55:00,28.4,86.18,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 11:15:00,28.4,86.18,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 11:35:00,30.2,80.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 11:55:00,28.4,79.92,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 12:15:00,28.4,79.92,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 12:35:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 12:55:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 13:15:00,26.6,86.07,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 13:35:00,28.4,86.18,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 13:55:00,32.0,86.39,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 14:15:00,33.8,80.36,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 14:35:00,33.8,86.49,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 14:55:00,33.8,86.49,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 15:15:00,35.6,80.51,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 15:35:00,41.0,60.54,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 15:55:00,44.6,52.72,3.5,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 16:15:00,44.6,52.72,8.1,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 16:35:00,46.4,45.73,5.8,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 16:55:00,46.4,45.73,3.5,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 17:15:00,50.0,39.95,3.5,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 17:35:00,50.0,39.95,3.5,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 17:55:00,50.0,37.08,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 18:15:00,51.8,34.69,4.6,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 18:35:00,51.8,34.69,3.5,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 18:55:00,51.8,34.69,6.9,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 19:15:00,53.6,32.46,5.8,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 19:35:00,53.6,30.11,3.5,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 19:55:00,53.6,30.11,4.6,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 20:15:00,51.8,32.17,3.5,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 20:35:00,51.8,32.17,4.6,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 20:55:00,51.8,34.69,3.5,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 21:15:00,51.8,32.17,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 21:35:00,50.0,39.95,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 21:55:00,46.4,45.73,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 22:15:00,42.8,56.48,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 22:35:00,41.0,60.54,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 22:55:00,41.0,60.54,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 23:15:00,37.4,64.7,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 23:35:00,37.4,69.67,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-01 23:55:00,37.4,69.67,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-02 00:15:00,37.4,69.67,0.0,,0.0,10.0,,CLR,M,M
3I2,2014-01-02 00:35:00,37.4,69.67,0.0,,0.0,10.0,,CLR,M,M
